source_path,source_sha256,source_page,stage,ocr_path,ocr_sha256,parsed_rows,status,header_edges_300dpi,raw_ocr,unreadable_member_counts
data/wb/2018/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs.pdf,58946ef4abc58709cd907ebd6819d245ae3e6061f6f9aaa67e8e22664edb0507,5,final,data/wb/ocr/final/1679-SEC-Gazette Notification-Delimitation and reservation-North 24 Pgs-05.tsv,5f67216d8a907965484a34dbdc532956565c5c62db5df528d75d611eee6d5639,12,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs.pdf,739fee6fff3de5ebc440f87ceb40e70e13abda3859653a8c30822d5bdf41b9d9,1,final,data/wb/ocr/final/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs-01.tsv,586c413b12942165074bcdc401ae92e17c02b9899e8fbdee06c8ed5e40dbb7e1,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs.pdf,739fee6fff3de5ebc440f87ceb40e70e13abda3859653a8c30822d5bdf41b9d9,2,final,data/wb/ocr/final/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs-02.tsv,8b78ed8053b6995994a552b69499ab9f92cb026b0dd020e43cc0478a88eedc66,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs.pdf,739fee6fff3de5ebc440f87ceb40e70e13abda3859653a8c30822d5bdf41b9d9,3,final,data/wb/ocr/final/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs-03.tsv,0e01de34f42c9b340e4752b13bbbc192ca58f5fd8322d8ed8b4d68f1e1574937,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs.pdf,739fee6fff3de5ebc440f87ceb40e70e13abda3859653a8c30822d5bdf41b9d9,4,final,data/wb/ocr/final/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs-04.tsv,4687203d4459553a84401737755fe9f6d03bbe453c3d78811aa011fa39bb2c52,13,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs.pdf,739fee6fff3de5ebc440f87ceb40e70e13abda3859653a8c30822d5bdf41b9d9,5,final,data/wb/ocr/final/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs-05.tsv,4b62d1d5183e71221fb0c04460abbbe49bde49d260b3b3e315a3a0656556d6d0,16,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs.pdf,739fee6fff3de5ebc440f87ceb40e70e13abda3859653a8c30822d5bdf41b9d9,6,final,data/wb/ocr/final/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs-06.tsv,97fb48b2794162fee9bfd3d02dbebe987221709a1e2aeda0391efbd79b70650f,15,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs.pdf,739fee6fff3de5ebc440f87ceb40e70e13abda3859653a8c30822d5bdf41b9d9,7,final,data/wb/ocr/final/1680-SEC-Gazette Notification-Delimitation and reservation-South 24 Pgs-07.tsv,419d781e4f7ac8fb8ac496834f090833de06671efe1fc9ee5b7e8b245ed5c662,7,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1681-SEC-Gazette Notification-Delimitation and reservation-Howrah.pdf,15352979e7d686acbfbc9a01c4c65a669396e1f498edf1b043516f1037d66501,1,final,data/wb/ocr/final/1681-SEC-Gazette Notification-Delimitation and reservation-Howrah-01.tsv,f36c186cc9990b4d2326c4b733e8f135c88fd59b1fd3ff2e46bb817ca1eb089e,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1681-SEC-Gazette Notification-Delimitation and reservation-Howrah.pdf,15352979e7d686acbfbc9a01c4c65a669396e1f498edf1b043516f1037d66501,2,final,data/wb/ocr/final/1681-SEC-Gazette Notification-Delimitation and reservation-Howrah-02.tsv,9205d186b09d04d97f06f37f72ffd542a9a758da224c2bc9b0004825965bf818,12,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1681-SEC-Gazette Notification-Delimitation and reservation-Howrah.pdf,15352979e7d686acbfbc9a01c4c65a669396e1f498edf1b043516f1037d66501,3,final,data/wb/ocr/final/1681-SEC-Gazette Notification-Delimitation and reservation-Howrah-03.tsv,354e1918c4e5dc0e4f663809eafed586c473436536585dc9618bda2bc7cfee2b,15,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1681-SEC-Gazette Notification-Delimitation and reservation-Howrah.pdf,15352979e7d686acbfbc9a01c4c65a669396e1f498edf1b043516f1037d66501,4,final,data/wb/ocr/final/1681-SEC-Gazette Notification-Delimitation and reservation-Howrah-04.tsv,78011c1560333d25778624271b6b251528ab1cbf748a87c25d1280acf4baf472,11,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly.pdf,8f78dce43cee5d53f2025aaf5f7b94df3ba19029cebc6f820bcc4884ca793184,1,final,data/wb/ocr/final/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly-01.tsv,2ca1f1cffdb67cf49badfcc58bb6193029bb7bc1236d9cb2394c3dac8c540465,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly.pdf,8f78dce43cee5d53f2025aaf5f7b94df3ba19029cebc6f820bcc4884ca793184,2,final,data/wb/ocr/final/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly-02.tsv,e49c438b8f6f297f3cee40b529d9e7769380661f8424311a08bc7e04db9d6fe7,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly.pdf,8f78dce43cee5d53f2025aaf5f7b94df3ba19029cebc6f820bcc4884ca793184,3,final,data/wb/ocr/final/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly-03.tsv,0ec1eb5bd656a3f5c26bfa84e7c19b8d5adaeccf54e4d629eb769e92a84bcbf4,12,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly.pdf,8f78dce43cee5d53f2025aaf5f7b94df3ba19029cebc6f820bcc4884ca793184,4,final,data/wb/ocr/final/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly-04.tsv,2265011ae0e2fbf160d06e9b4c6b0aad57e9dfda53004d866db77edfa6b7ac46,15,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly.pdf,8f78dce43cee5d53f2025aaf5f7b94df3ba19029cebc6f820bcc4884ca793184,5,final,data/wb/ocr/final/1682-SEC-Gazette Notification-Delimitation and reservation-Hooghly-05.tsv,a7dc21f9efaa7aaf8cca609cacf7bf30867ab056a860f5f2716af448c9fe7a2f,7,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur.pdf,d0f1af625bdc16c2e07e845502e7a6fac8bd6d8015708c1ddd1920046647a564,1,final,data/wb/ocr/final/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur-01.tsv,5dfa09cc711af688bdca154bf0a87e341af63e1c468ffed2b40c2e0b9e839deb,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur.pdf,d0f1af625bdc16c2e07e845502e7a6fac8bd6d8015708c1ddd1920046647a564,2,final,data/wb/ocr/final/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur-02.tsv,4fda50ab48a96e5a44b694c362491a11f4d01ee1662ece37e01a9d9c2c74cb20,14,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur.pdf,d0f1af625bdc16c2e07e845502e7a6fac8bd6d8015708c1ddd1920046647a564,3,final,data/wb/ocr/final/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur-03.tsv,35b734a95c49596919cf95ff0e46a4ec5d2446dbe119437b6a91792486f4f3c6,15,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur.pdf,d0f1af625bdc16c2e07e845502e7a6fac8bd6d8015708c1ddd1920046647a564,4,final,data/wb/ocr/final/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur-04.tsv,e625a147f1af879df905670f21196731915034df2a11066fe8467098d4f01bf0,16,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur.pdf,d0f1af625bdc16c2e07e845502e7a6fac8bd6d8015708c1ddd1920046647a564,5,final,data/wb/ocr/final/1683-SEC-Gazette Notification-Delimitation and reservation-Purba Medinipur-05.tsv,ec985995f79d1ef0d012a19014e287bfe14353e508c91b6919de13bf8b3ed086,13,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur.pdf,c2fc45bb6d10e87d2692eb9c584f2aa87122449a4ce712bcda68ce727281e387,1,final,data/wb/ocr/final/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur-01.tsv,bea4a342e930be5e4d615c71e2e6f49ed2e5ceb64e4f053499adaf16a51b4f70,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur.pdf,c2fc45bb6d10e87d2692eb9c584f2aa87122449a4ce712bcda68ce727281e387,2,final,data/wb/ocr/final/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur-02.tsv,c78a5be3b056511bf04da71604ad9c39f4029cf9766b2eb9ba78324a034c3970,12,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur.pdf,c2fc45bb6d10e87d2692eb9c584f2aa87122449a4ce712bcda68ce727281e387,3,final,data/wb/ocr/final/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur-03.tsv,9fa8d004a5e514d126d8fd9f304cdb6e411a35c7ffa3dca2390a852ffd4fd04c,12,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur.pdf,c2fc45bb6d10e87d2692eb9c584f2aa87122449a4ce712bcda68ce727281e387,4,final,data/wb/ocr/final/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur-04.tsv,57d9c356f4079b430b4e2b19c078952b7ef664ff4163a623f61a169f62573584,13,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur.pdf,c2fc45bb6d10e87d2692eb9c584f2aa87122449a4ce712bcda68ce727281e387,5,final,data/wb/ocr/final/1684-SEC-Gazette Notification-Delimitation and reservation-Paschim Medinipur-05.tsv,e22f75d7f8643bdc49c9129b9eaf38d2d99be5ed0e10455ecdfd0b77ebf1679e,12,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1685-SEC-Gazette Notification-Delimitation and reservation-Jhargram.pdf,8ebb96a4b1489618a86c2c9856de89854e1c4bd2d8f7391b8d20d98114a44acb,1,final,data/wb/ocr/final/1685-SEC-Gazette Notification-Delimitation and reservation-Jhargram-01.tsv,53da96bbcdf1ac70db2608d8c3ed68ba011a4f5eacb3a89a0a7dbdf8e8ef0807,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1685-SEC-Gazette Notification-Delimitation and reservation-Jhargram.pdf,8ebb96a4b1489618a86c2c9856de89854e1c4bd2d8f7391b8d20d98114a44acb,2,final,data/wb/ocr/final/1685-SEC-Gazette Notification-Delimitation and reservation-Jhargram-02.tsv,8a65e75021e6ff757d85cc558f7d4e09039fc3b9d5e5a7e74e2a7d3352f9696a,12,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1685-SEC-Gazette Notification-Delimitation and reservation-Jhargram.pdf,8ebb96a4b1489618a86c2c9856de89854e1c4bd2d8f7391b8d20d98114a44acb,3,final,data/wb/ocr/final/1685-SEC-Gazette Notification-Delimitation and reservation-Jhargram-03.tsv,014d5ff42ae248d85a458515a4634115294404bb04366bf75a873ab8bb26ecf0,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1686-SEC-Gazette Notification-Delimitation and reservation-Purulia.pdf,eaa42b034662f798b3bbb632e88118b61c4dbef40d95af2ff764bae337aab6eb,1,final,data/wb/ocr/final/1686-SEC-Gazette Notification-Delimitation and reservation-Purulia-01.tsv,cf1c7784d2507a215e1d28643bd149ad46df67b0ffdee1728856c3bf5d3676e4,2,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1686-SEC-Gazette Notification-Delimitation and reservation-Purulia.pdf,eaa42b034662f798b3bbb632e88118b61c4dbef40d95af2ff764bae337aab6eb,2,final,data/wb/ocr/final/1686-SEC-Gazette Notification-Delimitation and reservation-Purulia-02.tsv,a4cb965f876ee34d1c55ecbb3896fbae8195fdc7c4694f9cdc33817654ff2994,15,routed_existing_final_csv,NaN,,NaN
data/wb/2018/1686-SEC-Gazette Notification-Delimitation and reservation-Purulia.pdf,eaa42b034662f798b3bbb632e88118b61c4dbef40d95af2ff764bae337aab6eb,3,final,data/wb/ocr/final/1686-SEC-Gazette Notification-Delimitation and reservation-Purulia-03.tsv,b355a2b8c84a8f118d9a3c57144af1b8d60531740f89ab3a6bec9c8c607b42a3,14,routed_existing_final_csv,NaN,,NaN
