district,election_year,tier,stage,printed_office_universe,source_path,source_sha256,source_page,category,printed_count,parsed_positive_mentions,difference,visually_reviewed_mentions,control_status,independent_visual_enumeration,independent_visual_enumeration_sha256
Jalpaiguri,2023,block_head,final,9,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,4,women,4,4,0,4,count_agreement_not_name_verification,,
Jalpaiguri,2023,block_deputy,final,9,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,5,SC,1,1,0,1,count_agreement_not_name_verification,,
Jalpaiguri,2023,block_deputy,final,9,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,5,ST,1,1,0,1,count_agreement_not_name_verification,,
Jalpaiguri,2023,block_deputy,final,9,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,5,BC,0,0,0,0,count_agreement_not_name_verification,,
Jalpaiguri,2023,block_deputy,final,9,data/wb/2023/gp_sources/jalpaiguri_final_office_reservations.pdf,9e759adbc650c67a542622d15113f4a9c55b8296a31e6714b019d6a6aa719d1e,5,women,1,1,0,1,count_agreement_not_name_verification,,
Purulia,2018,gp_head,final,170,data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Arsha.pdf,af827949bd338cf1cc36a7fb2bcf305580a72407e60b34e84401f2c815c4fdda,1,SC,31,31,0,31,count_agreement_not_name_verification,,
Purulia,2018,gp_head,final,170,data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Arsha.pdf,af827949bd338cf1cc36a7fb2bcf305580a72407e60b34e84401f2c815c4fdda,1,ST,34,34,0,34,count_agreement_not_name_verification,,
Purulia,2018,gp_head,final,170,data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Arsha.pdf,af827949bd338cf1cc36a7fb2bcf305580a72407e60b34e84401f2c815c4fdda,1,BC,20,20,0,20,count_agreement_not_name_verification,,
Purulia,2018,gp_head,final,170,data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Arsha.pdf,af827949bd338cf1cc36a7fb2bcf305580a72407e60b34e84401f2c815c4fdda,1,women,85,85,0,85,count_agreement_not_name_verification,,
Purulia,2018,gp_deputy,final,170,data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Arsha.pdf,318fe8e2272ac224c380b3b2cd322531cf6fd8eace410a67a1626a1f4535b2c5,1,SC,15,15,0,15,count_agreement_not_name_verification,,
Purulia,2018,gp_deputy,final,170,data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Arsha.pdf,318fe8e2272ac224c380b3b2cd322531cf6fd8eace410a67a1626a1f4535b2c5,1,ST,17,17,0,17,count_agreement_not_name_verification,,
Purulia,2018,gp_deputy,final,170,data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Arsha.pdf,318fe8e2272ac224c380b3b2cd322531cf6fd8eace410a67a1626a1f4535b2c5,1,BC,5,5,0,5,count_agreement_not_name_verification,,
Purulia,2018,gp_deputy,final,170,data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Arsha.pdf,318fe8e2272ac224c380b3b2cd322531cf6fd8eace410a67a1626a1f4535b2c5,1,women,21,21,0,21,count_agreement_not_name_verification,,
South 24 Parganas,2018,gp_head,final,310,data/wb/gp_source_search/historical_expansion/s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,1,SC,105,105,0,105,count_agreement_not_name_verification,,
South 24 Parganas,2018,gp_head,final,310,data/wb/gp_source_search/historical_expansion/s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,1,ST,4,4,0,4,count_agreement_not_name_verification,,
South 24 Parganas,2018,gp_head,final,310,data/wb/gp_source_search/historical_expansion/s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,1,BC,46,46,0,46,count_agreement_not_name_verification,,
South 24 Parganas,2018,gp_head,final,310,data/wb/gp_source_search/historical_expansion/s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,6fa2911868350033e421c3ec257144a9618feb0fe27c07c5116d6763be056973,1,women,155,155,0,155,count_agreement_not_name_verification,,
South 24 Parganas,2018,gp_deputy,final,310,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,1,SC,75,68,-7,68,source_internal_mismatch_visually_enumerated,data/wb/derived/office_native/s24_deputy_independent_audit.json,eeb72080ab2873aeaa41a1f80a5ccb152b1166416aef33634cbfa457f657f754
South 24 Parganas,2018,gp_deputy,final,310,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,1,ST,4,4,0,4,count_agreement_not_name_verification,data/wb/derived/office_native/s24_deputy_independent_audit.json,eeb72080ab2873aeaa41a1f80a5ccb152b1166416aef33634cbfa457f657f754
South 24 Parganas,2018,gp_deputy,final,310,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,1,BC,1,4,3,4,source_internal_mismatch_visually_enumerated,data/wb/derived/office_native/s24_deputy_independent_audit.json,eeb72080ab2873aeaa41a1f80a5ccb152b1166416aef33634cbfa457f657f754
South 24 Parganas,2018,gp_deputy,final,310,data/wb/gp_source_search/historical_expansion/s24pgs_643_Form-1B_Upa-Pradhan_1_752bf64d.pdf,2270d40b82f79fb05c96fc7a6b75205d2387407f6364ab0670604be7e2209c33,1,women,38,39,1,39,source_internal_mismatch_visually_enumerated,data/wb/derived/office_native/s24_deputy_independent_audit.json,eeb72080ab2873aeaa41a1f80a5ccb152b1166416aef33634cbfa457f657f754
South 24 Parganas,2018,gp_head,draft,310,data/wb/gp_source_search/historical_expansion/s24pgs_Form-1A_Pradhan_1_2ca5b798.pdf,aa876d838a4cb51d18cacb6c9c144e01856ecc6e8886c8be08b9bcae4b73ae2b,1,SC,105,105,0,105,count_agreement_not_name_verification,,
South 24 Parganas,2018,gp_head,draft,310,data/wb/gp_source_search/historical_expansion/s24pgs_Form-1A_Pradhan_1_2ca5b798.pdf,aa876d838a4cb51d18cacb6c9c144e01856ecc6e8886c8be08b9bcae4b73ae2b,1,ST,4,4,0,4,count_agreement_not_name_verification,,
South 24 Parganas,2018,gp_head,draft,310,data/wb/gp_source_search/historical_expansion/s24pgs_Form-1A_Pradhan_1_2ca5b798.pdf,aa876d838a4cb51d18cacb6c9c144e01856ecc6e8886c8be08b9bcae4b73ae2b,1,BC,46,46,0,46,count_agreement_not_name_verification,,
South 24 Parganas,2018,gp_head,draft,310,data/wb/gp_source_search/historical_expansion/s24pgs_Form-1A_Pradhan_1_2ca5b798.pdf,aa876d838a4cb51d18cacb6c9c144e01856ecc6e8886c8be08b9bcae4b73ae2b,1,women,155,155,0,155,count_agreement_not_name_verification,,
South 24 Parganas,2018,gp_deputy,draft,310,data/wb/gp_source_search/historical_expansion/s24pgs_Form-1A_Upa_Pradhan_1_50f5d7f2.pdf,38b4d02632b217adabd34f14c77445628d402221452990726e41e8cc743c68ba,1,SC,75,68,-7,68,source_internal_mismatch_visually_enumerated,data/wb/derived/office_native/s24_draft_deputy_independent_audit.json,1c80125d089aabde9f2fe11dbd615a2731d607d0c8b4488355f22f1e7383b9aa
South 24 Parganas,2018,gp_deputy,draft,310,data/wb/gp_source_search/historical_expansion/s24pgs_Form-1A_Upa_Pradhan_1_50f5d7f2.pdf,38b4d02632b217adabd34f14c77445628d402221452990726e41e8cc743c68ba,1,ST,4,4,0,4,count_agreement_not_name_verification,data/wb/derived/office_native/s24_draft_deputy_independent_audit.json,1c80125d089aabde9f2fe11dbd615a2731d607d0c8b4488355f22f1e7383b9aa
South 24 Parganas,2018,gp_deputy,draft,310,data/wb/gp_source_search/historical_expansion/s24pgs_Form-1A_Upa_Pradhan_1_50f5d7f2.pdf,38b4d02632b217adabd34f14c77445628d402221452990726e41e8cc743c68ba,1,BC,1,4,3,4,source_internal_mismatch_visually_enumerated,data/wb/derived/office_native/s24_draft_deputy_independent_audit.json,1c80125d089aabde9f2fe11dbd615a2731d607d0c8b4488355f22f1e7383b9aa
South 24 Parganas,2018,gp_deputy,draft,310,data/wb/gp_source_search/historical_expansion/s24pgs_Form-1A_Upa_Pradhan_1_50f5d7f2.pdf,38b4d02632b217adabd34f14c77445628d402221452990726e41e8cc743c68ba,1,women,38,39,1,39,source_internal_mismatch_visually_enumerated,data/wb/derived/office_native/s24_draft_deputy_independent_audit.json,1c80125d089aabde9f2fe11dbd615a2731d607d0c8b4488355f22f1e7383b9aa
