source_path,source_sha256,source_page,cells,status,error
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Jhalda-II.pdf,4e836670e255412fe147f96258f7f241b12ae1c620cc43651dc7f59e716e84a9,1,16,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Joypur.pdf,f08ec747baa252d5ed2aa86888661dcb546c5d7468ccfc51e8cbf6bfbc35f247,1,12,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Kashipur.pdf,0e0c7cd9988bcb47b3f70aefaad591dc886d44e373d1d79f2182826fb20846d0,1,20,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Manbazar-I.pdf,57cc4b307dee750d43185fd6107888d7c377beaefcf8c35d457e7b44e140c04b,1,16,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Manbazar-II.pdf,17c5bc08541132df60f4aa97b202dbd253529ea9637a0065a984d107e92f8aa4,1,8,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Neturia.pdf,b8212d4c31794e14f24bfc2da93af90f7c093f6f2d19fe9819112a3d3238c16e,1,12,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Para.pdf,fa6fdace562a43f290da44a74046ccd479b808dbc9ff334ae6904957ab1dde49,1,14,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Puncha.pdf,a8e3f07d43f4841247270dd89f43ee2e7e81e7157d3b6cf40cdb26828b32769c,1,16,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Purulia-I.pdf,4e16de611616da317c64c13d00737c98b879de960bd0391d061688f3a2f9bf99,1,14,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Purulia-II.pdf,368de826306b52e861ac1a79b4f2ca84bef21e1a4a720f1914f7c12f59d696d8,1,10,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Raghunathpur-I.pdf,28bbcbcec8c616779bc8df1b75208e1c0d48e8d809ed42628c9be87697dfd52d,1,10,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Raghunathpur-II.pdf,272831139ec149626cb7c45811545b32c00bf3e5e7ba92bd2fb34a6f4c301fae,1,8,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Pradhan/1B_Pradhan_Santuri.pdf,1918603942e9afd413f8eadbd7681885da42ea7324f3ca767674c77c14087a9c,1,6,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Arsha.pdf,318fe8e2272ac224c380b3b2cd322531cf6fd8eace410a67a1626a1f4535b2c5,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Baghmundi.pdf,fa3344f75a9928225d95b0a02e1d6ef94f4253a3dd7665aab4f594fcc2cdc2fa,1,4,cells_extracted_review_pending,
data/wb/gp_source_search/archived_district_files/extracted/1B_Upa-Pradhan/1B_Upa-Pradhan_Balarampur.pdf,78f3a0d22b4855b51b97c6eaa42fe5e6d39992e936f6f0307768d7a1919276d2,1,2,cells_extracted_review_pending,
