row_id,source_path,source_sha256,source_page,source_table,source_table_row,source_bbox,source_coordinate_system,raw_cells,cell_bboxes
6db1fd63146a35ca872c,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,0,1,"[107.67500000000001, 144.5, 477.700005, 183.14]","PDF points, top-left origin","[""1."", ""Total no. of GP Constituency"", ""3244""]","[[107.67500000000001, 144.5, 150.85999999999999, 183.14], [150.85999999999999, 144.5, 314.930005, 183.14], [314.930005, 144.5, 477.700005, 183.14]]"
27de91983c0c42a848b9,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,0,2,"[107.67500000000001, 183.14, 477.700005, 225.26]","PDF points, top-left origin","[""2."", ""Total no of GP Seat"", ""3246""]","[[107.67500000000001, 183.14, 150.85999999999999, 225.26], [150.85999999999999, 183.14, 314.930005, 225.26], [314.930005, 183.14, 477.700005, 225.26]]"
45e04df1131551e086db,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,0,3,"[107.67500000000001, 225.26, 477.700005, 260.779995]","PDF points, top-left origin","[""3"", ""No of double seated GP\nConstituency"", ""2(One each at Tehatta-II and\nNakashipara Block)""]","[[107.67500000000001, 225.26, 150.85999999999999, 260.779995], [150.85999999999999, 225.26, 314.930005, 260.779995], [314.930005, 225.26, 477.700005, 260.779995]]"
6469ebb076c81cee4b49,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,0,4,"[107.67500000000001, 260.779995, 477.700005, 314.21000999999995]","PDF points, top-left origin","[""4."", ""Total no.s of PS Constituency /\nSeat"", ""547""]","[[107.67500000000001, 260.779995, 150.85999999999999, 314.21000999999995], [150.85999999999999, 260.779995, 314.930005, 314.21000999999995], [314.930005, 260.779995, 477.700005, 314.21000999999995]]"
1c74704ab9b56b96decd,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,0,5,"[107.67500000000001, 314.21000999999995, 477.700005, 367.61000999999993]","PDF points, top-left origin","[""5"", ""Total no. of ZP Constituency /\nSeat"", ""47""]","[[107.67500000000001, 314.21000999999995, 150.85999999999999, 367.61000999999993], [150.85999999999999, 314.21000999999995, 314.930005, 367.61000999999993], [314.930005, 314.21000999999995, 477.700005, 367.61000999999993]]"
65ba595c62624efe0af0,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,0,6,"[107.67500000000001, 367.61000999999993, 477.700005, 421.00999499999995]","PDF points, top-left origin","[""6"", ""Total no of Polling Station :\nMain\nAuxilliary"", ""3768\n06""]","[[107.67500000000001, 367.61000999999993, 150.85999999999999, 421.00999499999995], [150.85999999999999, 367.61000999999993, 314.930005, 421.00999499999995], [314.930005, 367.61000999999993, 477.700005, 421.00999499999995]]"
5fe53758cf530d62b6fa,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,1,0,"[66.624, 547.6360090000001, 539.8599899999999, 574.63001]","PDF points, top-left origin","[""TIER"", ""ST"", ""SC"", ""BC"", ""SC\n(W)"", ""ST\n(W)"", ""BC(W\n)"", ""WOME\nN"", ""TOTA\nL""]","[[66.624, 547.6360090000001, 139.580005, 574.63001], [139.580005, 547.6360090000001, 192.5, 574.63001], [192.5, 547.6360090000001, 256.370005, 574.63001], [256.370005, 547.6360090000001, 320.20999000000006, 574.63001], [320.20999000000006, 547.6360090000001, 355.630005, 574.63001], [355.630005, 547.6360090000001, 391.030005, 574.63001], [391.030005, 547.6360090000001, 433.630005, 574.63001], [433.630005, 547.6360090000001, 490.562004, 574.63001], [490.562004, 547.6360090000001, 539.8599899999999, 574.63001]]"
ffa8f6a0c83fed23fe96,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,1,1,"[66.624, 574.63001, 539.8599899999999, 618.5500099999999]","PDF points, top-left origin","[""Gram\nPanchayat"", ""77"", ""941"", ""490"", ""456"", ""30"", ""226"", ""857"", ""2365""]","[[66.624, 574.63001, 139.580005, 618.5500099999999], [139.580005, 574.63001, 192.5, 618.5500099999999], [192.5, 574.63001, 256.370005, 618.5500099999999], [256.370005, 574.63001, 320.20999000000006, 618.5500099999999], [320.20999000000006, 574.63001, 355.630005, 618.5500099999999], [355.630005, 574.63001, 391.030005, 618.5500099999999], [391.030005, 574.63001, 433.630005, 618.5500099999999], [433.630005, 574.63001, 490.562004, 618.5500099999999], [490.562004, 574.63001, 539.8599899999999, 618.5500099999999]]"
a1c897c7583e1f44aca0,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,1,2,"[66.624, 618.5500099999999, 539.8599899999999, 654.5500099999999]","PDF points, top-left origin","[""Panchayat\nSamity"", ""170"", ""13"", ""78"", ""82"", ""8"", ""37"", ""141"", ""402""]","[[66.624, 618.5500099999999, 139.580005, 654.5500099999999], [139.580005, 618.5500099999999, 192.5, 654.5500099999999], [192.5, 618.5500099999999, 256.370005, 654.5500099999999], [256.370005, 618.5500099999999, 320.20999000000006, 654.5500099999999], [320.20999000000006, 618.5500099999999, 355.630005, 654.5500099999999], [355.630005, 618.5500099999999, 391.030005, 654.5500099999999], [391.030005, 618.5500099999999, 433.630005, 654.5500099999999], [433.630005, 618.5500099999999, 490.562004, 654.5500099999999], [490.562004, 618.5500099999999, 539.8599899999999, 654.5500099999999]]"
c253cf6ebaefde69567d,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,48,1,3,"[66.624, 654.5500099999999, 539.8599899999999, 690.34001]","PDF points, top-left origin","[""Zilla\nParishad"", ""01"", ""15"", ""07"", ""06"", ""01"", ""04"", ""12"", ""35""]","[[66.624, 654.5500099999999, 139.580005, 690.34001], [139.580005, 654.5500099999999, 192.5, 690.34001], [192.5, 654.5500099999999, 256.370005, 690.34001], [256.370005, 654.5500099999999, 320.20999000000006, 690.34001], [320.20999000000006, 654.5500099999999, 355.630005, 690.34001], [355.630005, 654.5500099999999, 391.030005, 690.34001], [391.030005, 654.5500099999999, 433.630005, 690.34001], [433.630005, 654.5500099999999, 490.562004, 690.34001], [490.562004, 654.5500099999999, 539.8599899999999, 690.34001]]"
08c9405be5fe1b6d97e5,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,0,"[131.42, 91.10000000000002, 777.4599900000001, 190.11800000000005]","PDF points, top-left origin","[""Assembly\npart\ninvolved"", ""Electors\nas on\n01.01.12"", ""Number of G.P\nConstituency /\nSeats in Panchayat\nGeneral Elections, 2008"", null, ""Number of G.P\nConstituency in\nPanchayat\nGeneral Elections, 2013"", null, null, ""Reservation Status of Seats\nin Panchayat General Elections,2013"", null, null, null, null, null, null, null]","[[131.42, 91.10000000000002, 185.48893617021275, 190.11800000000005], [185.48893617021275, 91.10000000000002, 230.42, 190.11800000000005], [230.42, 91.10000000000002, 333.04999, 146.42000000000002], null, [333.04999, 91.10000000000002, 445.60999000000004, 146.42000000000002], null, null, [445.60999000000004, 91.10000000000002, 777.4599900000001, 146.42000000000002], null, null, null, null, null, null, null]"
2265d0742b89547c58d5,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,1,"[230.42, 146.42000000000002, 777.4599900000001, 190.11800000000005]","PDF points, top-left origin","[null, null, ""G.P.\nConstit\nuency"", ""G.P.\nSeats"", ""Single\nseated"", ""Double\nseated"", ""Total"", ""Total\nseats"", ""ST"", ""SC"", ""OBC"", ""STW"", ""SCW"", ""OBC\n(W)"", ""Women""]","[null, null, [230.42, 146.42000000000002, 274.58000499999997, 190.11800000000005], [274.58000499999997, 146.42000000000002, 333.04999, 190.11800000000005], [333.04999, 146.42000000000002, 373.60999, 190.11800000000005], [373.60999, 146.42000000000002, 414.04999000000004, 190.11800000000005], [414.04999000000004, 146.42000000000002, 445.60999000000004, 190.11800000000005], [445.60999000000004, 146.42000000000002, 486.070005, 190.11800000000005], [486.070005, 146.42000000000002, 517.6299899999999, 190.11800000000005], [517.6299899999999, 146.42000000000002, 562.6299899999999, 190.11800000000005], [562.6299899999999, 146.42000000000002, 607.6299899999999, 190.11800000000005], [607.6299899999999, 146.42000000000002, 648.0699900000001, 190.11800000000005], [648.0699900000001, 146.42000000000002, 688.65999, 190.11800000000005], [688.65999, 146.42000000000002, 733.65999, 190.11800000000005], [733.65999, 146.42000000000002, 777.4599900000001, 190.11800000000005]]"
0fa2eda88fe9ec16271e,data/wb/gp_source_search/historical_expansion/nadia_Panchayat_20General_20Election_20-_20final_20book_election_202013__cf50563e.pdf,238810badd4a39a733192c9c269ae3cea0171701253e159de32ae912c1211c43,49,0,2,"[131.42, 190.11800000000005, 777.4599900000001, 204.05000000000007]","PDF points, top-left origin","[""5"", ""6"", ""7(a)"", ""7(b)"", ""8(a)"", ""8(b)"", ""8( c)"", ""9(a)"", ""9(b)"", ""9( c)"", ""9(d)"", ""9(e)"", ""9(f)"", ""9(g)"", ""9(h)""]","[[131.42, 190.11800000000005, 185.48893617021275, 204.05000000000007], [185.48893617021275, 190.11800000000005, 230.42, 204.05000000000007], [230.42, 190.11800000000005, 274.58000499999997, 204.05000000000007], [274.58000499999997, 190.11800000000005, 333.04999, 204.05000000000007], [333.04999, 190.11800000000005, 373.60999, 204.05000000000007], [373.60999, 190.11800000000005, 414.04999000000004, 204.05000000000007], [414.04999000000004, 190.11800000000005, 445.60999000000004, 204.05000000000007], [445.60999000000004, 190.11800000000005, 486.070005, 204.05000000000007], [486.070005, 190.11800000000005, 517.6299899999999, 204.05000000000007], [517.6299899999999, 190.11800000000005, 562.6299899999999, 204.05000000000007], [562.6299899999999, 190.11800000000005, 607.6299899999999, 204.05000000000007], [607.6299899999999, 190.11800000000005, 648.0699900000001, 204.05000000000007], [648.0699900000001, 190.11800000000005, 688.65999, 204.05000000000007], [688.65999, 190.11800000000005, 733.65999, 204.05000000000007], [733.65999, 190.11800000000005, 777.4599900000001, 204.05000000000007]]"
