seats_total,seats_uncontested,seats_election_held,contesting_candidates,CPI(M),CPI,AIFB,RSP,INC,AITC,BJP,CPI(ML),NCP,IND,source_html_row,state,year,district,block_code,block,gram_panchayat,source_url,source_path,source_sha256,issues,review_status
18,17,1,2,18,0,0,0,0,0,0,0,0,0,6,West Bengal,2003,Bardhaman,03,AUSGRAM-II,BHEDIA,http://web.archive.org/web/20090410102026id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=03&blnm=AUSGRAM-II,data/wb/vintage_search/raw/99283b355d1863ad.html,a423d987dd291541dc5268008d420f0f68869cd3e9f4764edc4192d6e8127b49,,source_controls_passed
14,8,6,13,14,0,0,0,0,0,0,0,0,0,7,West Bengal,2003,Bardhaman,03,AUSGRAM-II,DEBSALA,http://web.archive.org/web/20090410102026id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=03&blnm=AUSGRAM-II,data/wb/vintage_search/raw/99283b355d1863ad.html,a423d987dd291541dc5268008d420f0f68869cd3e9f4764edc4192d6e8127b49,,source_controls_passed
19,6,13,27,19,0,0,0,0,0,0,0,0,0,8,West Bengal,2003,Bardhaman,03,AUSGRAM-II,ERAL,http://web.archive.org/web/20090410102026id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=03&blnm=AUSGRAM-II,data/wb/vintage_search/raw/99283b355d1863ad.html,a423d987dd291541dc5268008d420f0f68869cd3e9f4764edc4192d6e8127b49,,source_controls_passed
15,0,15,31,13,0,0,0,0,2,0,0,0,0,9,West Bengal,2003,Bardhaman,03,AUSGRAM-II,KOTA,http://web.archive.org/web/20090410102026id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=03&blnm=AUSGRAM-II,data/wb/vintage_search/raw/99283b355d1863ad.html,a423d987dd291541dc5268008d420f0f68869cd3e9f4764edc4192d6e8127b49,,source_controls_passed
8,3,5,10,1,0,0,0,0,7,0,0,0,0,3,West Bengal,2003,Bardhaman,04,BARABANI,PANGACHHIA,http://web.archive.org/web/20090410101449id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=04&blnm=BARABANI,data/wb/vintage_search/raw/cfbbdc61541e167e.html,9c2764a27250d011e6862d54213e2d109430af098af217273171ae1b6ded327b,,source_controls_passed
16,1,15,31,13,0,0,0,0,3,0,0,0,0,4,West Bengal,2003,Bardhaman,04,BARABANI,PANURIA,http://web.archive.org/web/20090410101449id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=04&blnm=BARABANI,data/wb/vintage_search/raw/cfbbdc61541e167e.html,9c2764a27250d011e6862d54213e2d109430af098af217273171ae1b6ded327b,,source_controls_passed
13,0,13,42,4,0,0,0,9,0,0,0,0,0,5,West Bengal,2003,Bardhaman,04,BARABANI,BARABANI,http://web.archive.org/web/20090410101449id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=04&blnm=BARABANI,data/wb/vintage_search/raw/cfbbdc61541e167e.html,9c2764a27250d011e6862d54213e2d109430af098af217273171ae1b6ded327b,,source_controls_passed
13,0,13,39,6,1,0,0,4,2,0,0,0,0,6,West Bengal,2003,Bardhaman,04,BARABANI,DOMOHANI,http://web.archive.org/web/20090410101449id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=04&blnm=BARABANI,data/wb/vintage_search/raw/cfbbdc61541e167e.html,9c2764a27250d011e6862d54213e2d109430af098af217273171ae1b6ded327b,,source_controls_passed
12,0,12,29,9,0,0,0,0,3,0,0,0,0,7,West Bengal,2003,Bardhaman,04,BARABANI,ITAPARA,http://web.archive.org/web/20090410101449id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=04&blnm=BARABANI,data/wb/vintage_search/raw/cfbbdc61541e167e.html,9c2764a27250d011e6862d54213e2d109430af098af217273171ae1b6ded327b,,source_controls_passed
10,0,10,34,7,1,0,0,0,1,0,0,0,1,8,West Bengal,2003,Bardhaman,04,BARABANI,JAMGRAM,http://web.archive.org/web/20090410101449id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=04&blnm=BARABANI,data/wb/vintage_search/raw/cfbbdc61541e167e.html,9c2764a27250d011e6862d54213e2d109430af098af217273171ae1b6ded327b,,source_controls_passed
10,0,10,22,7,0,0,0,0,3,0,0,0,0,9,West Bengal,2003,Bardhaman,04,BARABANI,NUNI,http://web.archive.org/web/20090410101449id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=04&blnm=BARABANI,data/wb/vintage_search/raw/cfbbdc61541e167e.html,9c2764a27250d011e6862d54213e2d109430af098af217273171ae1b6ded327b,,source_controls_passed
12,1,11,25,7,1,0,0,1,3,0,0,0,0,10,West Bengal,2003,Bardhaman,04,BARABANI,PANCHRA,http://web.archive.org/web/20090410101449id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=04&blnm=BARABANI,data/wb/vintage_search/raw/cfbbdc61541e167e.html,9c2764a27250d011e6862d54213e2d109430af098af217273171ae1b6ded327b,,source_controls_passed
12,12,0,0,12,0,0,0,0,0,0,0,0,0,3,West Bengal,2003,Bardhaman,05,BHATAR,BARABELUN-II,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
23,8,15,32,15,2,3,2,0,0,0,0,0,1,4,West Bengal,2003,Bardhaman,05,BHATAR,BHATAR,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
15,15,0,0,15,0,0,0,0,0,0,0,0,0,5,West Bengal,2003,Bardhaman,05,BHATAR,BONPAS,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
23,19,4,10,18,0,1,3,0,0,0,0,0,1,6,West Bengal,2003,Bardhaman,05,BHATAR,MAHACHANDA,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
19,0,19,39,13,0,1,1,0,3,1,0,0,0,7,West Bengal,2003,Bardhaman,05,BHATAR,MAHATA,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
20,11,9,19,20,0,0,0,0,0,0,0,0,0,8,West Bengal,2003,Bardhaman,05,BHATAR,NITYANANDAPUR,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
11,11,0,0,11,0,0,0,0,0,0,0,0,0,9,West Bengal,2003,Bardhaman,05,BHATAR,SAHEBGANJ-I,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
13,13,0,0,13,0,0,0,0,0,0,0,0,0,10,West Bengal,2003,Bardhaman,05,BHATAR,SAHEBGANJ-II,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
10,5,5,15,9,0,1,0,0,0,0,0,0,0,11,West Bengal,2003,Bardhaman,05,BHATAR,AMARUN-I,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
14,13,1,2,12,0,2,0,0,0,0,0,0,0,12,West Bengal,2003,Bardhaman,05,BHATAR,AMARUN-II,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
19,17,2,4,14,1,1,3,0,0,0,0,0,0,13,West Bengal,2003,Bardhaman,05,BHATAR,ARUAR,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
19,2,17,38,7,0,3,0,2,4,3,0,0,0,14,West Bengal,2003,Bardhaman,05,BHATAR,BALGONA,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
19,17,2,4,18,0,0,1,0,0,0,0,0,0,15,West Bengal,2003,Bardhaman,05,BHATAR,BAMUNARA,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
11,10,1,2,10,0,0,0,0,0,0,0,0,1,16,West Bengal,2003,Bardhaman,05,BHATAR,BARABELUN-I,http://web.archive.org/web/20090410102553id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=05&blnm=BHATAR,data/wb/vintage_search/raw/5dce1ba2d573321e.html,b76b368dcbb345472b82a72928b949c6740d88903acf151ae54c712e3525fb4e,,source_controls_passed
27,6,21,46,25,0,1,0,0,1,0,0,0,0,3,West Bengal,2003,Bardhaman,06,BURDWAN-I,RAYAN-I,http://web.archive.org/web/20090410101540id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=06&blnm=BURDWAN-I,data/wb/vintage_search/raw/f89e7ab60f0b63a5.html,4070fa80b8e48c56f6c3bf1a60524fc6792e926d227ad3621447c73613c7d63a,,source_controls_passed
11,1,10,20,9,0,0,2,0,0,0,0,0,0,4,West Bengal,2003,Bardhaman,06,BURDWAN-I,RAYAN-II,http://web.archive.org/web/20090410101540id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=06&blnm=BURDWAN-I,data/wb/vintage_search/raw/f89e7ab60f0b63a5.html,4070fa80b8e48c56f6c3bf1a60524fc6792e926d227ad3621447c73613c7d63a,,source_controls_passed
26,17,9,18,25,0,0,1,0,0,0,0,0,0,5,West Bengal,2003,Bardhaman,06,BURDWAN-I,SARAITIKAR,http://web.archive.org/web/20090410101540id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=06&blnm=BURDWAN-I,data/wb/vintage_search/raw/f89e7ab60f0b63a5.html,4070fa80b8e48c56f6c3bf1a60524fc6792e926d227ad3621447c73613c7d63a,,source_controls_passed
15,11,4,8,14,0,0,0,0,1,0,0,0,0,6,West Bengal,2003,Bardhaman,06,BURDWAN-I,BAGHAR-I,http://web.archive.org/web/20090410101540id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=06&blnm=BURDWAN-I,data/wb/vintage_search/raw/f89e7ab60f0b63a5.html,4070fa80b8e48c56f6c3bf1a60524fc6792e926d227ad3621447c73613c7d63a,,source_controls_passed
13,7,6,12,13,0,0,0,0,0,0,0,0,0,7,West Bengal,2003,Bardhaman,06,BURDWAN-I,BAGHAR-II,http://web.archive.org/web/20090410101540id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=06&blnm=BURDWAN-I,data/wb/vintage_search/raw/f89e7ab60f0b63a5.html,4070fa80b8e48c56f6c3bf1a60524fc6792e926d227ad3621447c73613c7d63a,,source_controls_passed
25,13,12,24,22,0,2,0,1,0,0,0,0,0,8,West Bengal,2003,Bardhaman,06,BURDWAN-I,BELKASH,http://web.archive.org/web/20090410101540id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=06&blnm=BURDWAN-I,data/wb/vintage_search/raw/f89e7ab60f0b63a5.html,4070fa80b8e48c56f6c3bf1a60524fc6792e926d227ad3621447c73613c7d63a,,source_controls_passed
16,6,10,21,11,0,0,1,0,2,0,0,0,2,9,West Bengal,2003,Bardhaman,06,BURDWAN-I,BONDUL-I,http://web.archive.org/web/20090410101540id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=06&blnm=BURDWAN-I,data/wb/vintage_search/raw/f89e7ab60f0b63a5.html,4070fa80b8e48c56f6c3bf1a60524fc6792e926d227ad3621447c73613c7d63a,,source_controls_passed
22,6,16,33,17,0,0,1,2,1,0,0,0,1,10,West Bengal,2003,Bardhaman,06,BURDWAN-I,KHETIA,http://web.archive.org/web/20090410101540id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=06&blnm=BURDWAN-I,data/wb/vintage_search/raw/f89e7ab60f0b63a5.html,4070fa80b8e48c56f6c3bf1a60524fc6792e926d227ad3621447c73613c7d63a,,source_controls_passed
13,13,0,0,13,0,0,0,0,0,0,0,0,0,11,West Bengal,2003,Bardhaman,06,BURDWAN-I,KURMUN-I,http://web.archive.org/web/20090410101540id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=06&blnm=BURDWAN-I,data/wb/vintage_search/raw/f89e7ab60f0b63a5.html,4070fa80b8e48c56f6c3bf1a60524fc6792e926d227ad3621447c73613c7d63a,,source_controls_passed
11,0,11,22,9,0,0,0,0,2,0,0,0,0,3,West Bengal,2003,Bardhaman,07,BURDWAN-II,KURMUN-II,http://web.archive.org/web/20090410101701id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=07&blnm=BURDWAN-II,data/wb/vintage_search/raw/de1c08d34bc5f90d.html,aa06cc5afdfd961962da7b5407d06ece26d3b40be749173b870d594500b25ea3,,source_controls_passed
15,15,0,0,14,0,1,0,0,0,0,0,0,0,4,West Bengal,2003,Bardhaman,07,BURDWAN-II,NABASTHA-I,http://web.archive.org/web/20090410101701id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=07&blnm=BURDWAN-II,data/wb/vintage_search/raw/de1c08d34bc5f90d.html,aa06cc5afdfd961962da7b5407d06ece26d3b40be749173b870d594500b25ea3,,source_controls_passed
10,2,8,18,10,0,0,0,0,0,0,0,0,0,5,West Bengal,2003,Bardhaman,07,BURDWAN-II,NABASTHA-II,http://web.archive.org/web/20090410101701id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=07&blnm=BURDWAN-II,data/wb/vintage_search/raw/de1c08d34bc5f90d.html,aa06cc5afdfd961962da7b5407d06ece26d3b40be749173b870d594500b25ea3,,source_controls_passed
18,5,13,26,18,0,0,0,0,0,0,0,0,0,6,West Bengal,2003,Bardhaman,07,BURDWAN-II,BAIKUNTHAPUR-I,http://web.archive.org/web/20090410101701id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=07&blnm=BURDWAN-II,data/wb/vintage_search/raw/de1c08d34bc5f90d.html,aa06cc5afdfd961962da7b5407d06ece26d3b40be749173b870d594500b25ea3,,source_controls_passed
11,3,8,16,11,0,0,0,0,0,0,0,0,0,7,West Bengal,2003,Bardhaman,07,BURDWAN-II,BAIKUNTHAPUR-II,http://web.archive.org/web/20090410101701id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=07&blnm=BURDWAN-II,data/wb/vintage_search/raw/de1c08d34bc5f90d.html,aa06cc5afdfd961962da7b5407d06ece26d3b40be749173b870d594500b25ea3,,source_controls_passed
12,4,8,17,12,0,0,0,0,0,0,0,0,0,8,West Bengal,2003,Bardhaman,07,BURDWAN-II,BORSUL-I,http://web.archive.org/web/20090410101701id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=07&blnm=BURDWAN-II,data/wb/vintage_search/raw/de1c08d34bc5f90d.html,aa06cc5afdfd961962da7b5407d06ece26d3b40be749173b870d594500b25ea3,,source_controls_passed
9,8,1,2,9,0,0,0,0,0,0,0,0,0,9,West Bengal,2003,Bardhaman,07,BURDWAN-II,BONDUL-II,http://web.archive.org/web/20090410101701id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=07&blnm=BURDWAN-II,data/wb/vintage_search/raw/de1c08d34bc5f90d.html,aa06cc5afdfd961962da7b5407d06ece26d3b40be749173b870d594500b25ea3,,source_controls_passed
17,2,15,40,16,0,0,0,0,0,1,0,0,0,10,West Bengal,2003,Bardhaman,07,BURDWAN-II,BORSUL-II,http://web.archive.org/web/20090410101701id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=07&blnm=BURDWAN-II,data/wb/vintage_search/raw/de1c08d34bc5f90d.html,aa06cc5afdfd961962da7b5407d06ece26d3b40be749173b870d594500b25ea3,,source_controls_passed
20,13,7,15,15,0,3,0,1,0,0,0,0,1,11,West Bengal,2003,Bardhaman,07,BURDWAN-II,GOBINDAPUR,http://web.archive.org/web/20090410101701id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=07&blnm=BURDWAN-II,data/wb/vintage_search/raw/de1c08d34bc5f90d.html,aa06cc5afdfd961962da7b5407d06ece26d3b40be749173b870d594500b25ea3,,source_controls_passed
22,20,2,4,19,3,0,0,0,0,0,0,0,0,3,West Bengal,2003,Bardhaman,08,DURGAPUR-FARIDPUR,GOGLA,http://web.archive.org/web/20090410103818id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=08&blnm=DURGAPUR-FARIDPUR,data/wb/vintage_search/raw/f1802298095859aa.html,b831ccf88e6dc8b5844ba705881d8bf02912dc2b6e1df8dbcde6caf62d79c073,,source_controls_passed
9,9,0,0,7,0,2,0,0,0,0,0,0,0,4,West Bengal,2003,Bardhaman,08,DURGAPUR-FARIDPUR,GOURBAZAR,http://web.archive.org/web/20090410103818id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=08&blnm=DURGAPUR-FARIDPUR,data/wb/vintage_search/raw/f1802298095859aa.html,b831ccf88e6dc8b5844ba705881d8bf02912dc2b6e1df8dbcde6caf62d79c073,,source_controls_passed
18,0,18,51,11,2,0,0,1,2,0,0,0,2,5,West Bengal,2003,Bardhaman,08,DURGAPUR-FARIDPUR,ICHAPUR,http://web.archive.org/web/20090410103818id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=08&blnm=DURGAPUR-FARIDPUR,data/wb/vintage_search/raw/f1802298095859aa.html,b831ccf88e6dc8b5844ba705881d8bf02912dc2b6e1df8dbcde6caf62d79c073,,source_controls_passed
11,5,6,12,11,0,0,0,0,0,0,0,0,0,6,West Bengal,2003,Bardhaman,08,DURGAPUR-FARIDPUR,JEMUA,http://web.archive.org/web/20090410103818id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=08&blnm=DURGAPUR-FARIDPUR,data/wb/vintage_search/raw/f1802298095859aa.html,b831ccf88e6dc8b5844ba705881d8bf02912dc2b6e1df8dbcde6caf62d79c073,,source_controls_passed
