state,year,district,block,gram_panchayat,seats_contested_printed,seats_declared_printed,party_counts_sum,declared_minus_party_counts,party_counts_cover_declared,AIFB,AITC,BJP,BSP,CPI,CPI(M),INC,MFB,RSP,OTHERS,source_html_row,source_path,source_sha256,source_url
West Bengal,2003,Hooghly,PANDUA,RAMESWARPUR GOPALNAGAR,14,14,14,0,True,0,0,0,0,0,13,0,0,0,1,39,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,PANDUA,JAMGRAM-MONDALAI,12,12,12,0,True,0,0,0,0,0,12,0,0,0,0,40,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,CHAR KRISHNABATI,6,6,6,0,True,0,3,0,0,0,2,0,0,0,1,41,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,MOHIPALPUR,9,9,9,0,True,0,0,0,0,0,7,0,0,0,2,42,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,EKATARPUR,16,16,16,0,True,0,2,0,0,0,14,0,0,0,0,43,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,DUMURDAHA NITYANANDAPUR-II,15,15,15,0,True,0,1,0,0,0,14,0,0,0,0,44,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,DUMURDAHA NITYANANDAPUR-I,13,13,13,0,True,0,4,0,0,0,8,0,0,0,1,45,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,SIJA KAMALPUR,18,18,18,0,True,0,6,4,0,0,8,0,0,0,0,46,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,SRIPUR-BALAGARH,22,22,22,0,True,0,8,1,0,0,11,1,0,0,1,47,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,SOMRA-II,12,12,12,0,True,0,4,0,0,0,5,3,0,0,0,48,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,BAKULIA-DHABAPARA,20,20,20,0,True,0,5,0,0,2,13,0,0,0,0,49,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,GUPTIPARA-II,14,14,14,0,True,0,3,0,0,1,9,0,0,0,1,50,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,GUPTIPARA-I,13,13,13,0,True,0,2,0,0,0,11,0,0,0,0,51,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,JIRAT,21,21,21,0,True,0,4,0,0,0,15,0,0,0,2,52,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
West Bengal,2003,Hooghly,Balagarh,SOMRA-I,11,11,11,0,True,0,3,1,0,0,7,0,0,0,0,53,data/wb/gp_source_search/hooghly_2003_total.htm,9eb22ad17c307bc2a0683c7d68a5e2969a7b1ed170d4489545f66f8e06a24c21,https://web.archive.org/web/20041117101744/http://hooghly.nic.in:80/hzp/Panch_election1/total.htm
