file,url,archive_url,capture,retrieved_at,district_domain,status,bytes,sha256
nadia_Madanpur-II_724c533d.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Madanpur-II.pdf,https://web.archive.org/web/20090410073126id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Madanpur-II.pdf,20090410073126,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073126id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Madanpur-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_ORDER-_20A1_d59db5cc.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/ORDER-%20A1.pdf,https://web.archive.org/web/20090410073259id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/ORDER-%20A1.pdf,20090410073259,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073259id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/ORDER-%20A1.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_ORDER-_20B1_6ffab169.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/ORDER-%20B1.pdf,https://web.archive.org/web/20090410073713id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/ORDER-%20B1.pdf,20090410073713,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073713id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/ORDER-%20B1.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Rautari_845ce850.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Rautari.pdf,https://web.archive.org/web/20090410072626id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Rautari.pdf,20090410072626,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072626id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Rautari.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Saguna_77c14419.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Saguna.pdf,https://web.archive.org/web/20090410072102id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Saguna.pdf,20090410072102,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072102id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Saguna.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Sarati_b6f43a10.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Sarati.pdf,https://web.archive.org/web/20090410072544id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Sarati.pdf,20090410072544,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072544id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Sarati.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Shimurali_b64bb528.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Shimurali.pdf,https://web.archive.org/web/20090410073328id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Shimurali.pdf,20090410073328,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073328id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Shimurali.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Silinda-I_7d8fc466.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Silinda-I.pdf,https://web.archive.org/web/20090410074636id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Silinda-I.pdf,20090410074636,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074636id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Silinda-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Silinda-II_4276c2b8.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Silinda-II.pdf,https://web.archive.org/web/20090410072913id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Silinda-II.pdf,20090410072913,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072913id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Silinda-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Tatla-I_702c0ed1.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Tatla-I.pdf,https://web.archive.org/web/20090410074953id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Tatla-I.pdf,20090410074953,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074953id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Tatla-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Tatla-II_93e73760.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Tatla-II.pdf,https://web.archive.org/web/20090410075015id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Tatla-II.pdf,20090410075015,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410075015id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chakdaha/Tatla-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Form-A1_bc959e7a.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chapra/Form-A1.pdf,https://web.archive.org/web/20090410072532id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chapra/Form-A1.pdf,20090410072532,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072532id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chapra/Form-A1.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_FORM-B1_175ed1dc.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Chapra/FORM-B1.pdf,https://web.archive.org/web/20090410073114id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chapra/FORM-B1.pdf,20090410073114,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073114id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Chapra/FORM-B1.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Badkulla-I_75f86c99.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Badkulla-I.pdf,https://web.archive.org/web/20090410072901id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Badkulla-I.pdf,20090410072901,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072901id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Badkulla-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Badkulla-II_70f5688a.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Badkulla-II.pdf,https://web.archive.org/web/20090410074013id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Badkulla-II.pdf,20090410074013,2026-09-06,nadia.nic.in,downloaded,41567,6f8772297be42efab47975930c49981d2d78c6f2ceff63454f083fd50397c555
nadia_Bagula-I_7133108e.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Bagula-I.pdf,https://web.archive.org/web/20090410074652id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Bagula-I.pdf,20090410074652,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074652id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Bagula-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Bagula-II_44d04588.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Bagula-II.pdf,https://web.archive.org/web/20090410072350id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Bagula-II.pdf,20090410072350,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072350id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Bagula-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_BetnaGobindapur_428786c3.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/BetnaGobindapur.pdf,https://web.archive.org/web/20090410073247id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/BetnaGobindapur.pdf,20090410073247,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073247id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/BetnaGobindapur.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Dakshinpara-I_1f01c697.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Dakshinpara-I.pdf,https://web.archive.org/web/20090410073337id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Dakshinpara-I.pdf,20090410073337,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073337id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Dakshinpara-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Dakshinpara-II_2ab64782.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Dakshinpara-II.pdf,https://web.archive.org/web/20090410074051id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Dakshinpara-II.pdf,20090410074051,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074051id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Dakshinpara-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Form-_20B1-Order_1bb191b6.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Form-%20B1-Order.pdf,https://web.archive.org/web/20090410072743id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Form-%20B1-Order.pdf,20090410072743,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072743id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Form-%20B1-Order.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Form-A1-Order_045e6a68.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Form-A1-Order.pdf,https://web.archive.org/web/20090410073727id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Form-A1-Order.pdf,20090410073727,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073727id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Form-A1-Order.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Form-B1-Schedule_68cd3923.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Form-B1-Schedule.pdf,https://web.archive.org/web/20090410071956id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Form-B1-Schedule.pdf,20090410071956,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410071956id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Form-B1-Schedule.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Gazna_79f8fca5.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Gazna.pdf,https://web.archive.org/web/20090410073210id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Gazna.pdf,20090410073210,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073210id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Gazna.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Mamjoan_7f58bbb9.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Mamjoan.pdf,https://web.archive.org/web/20090410072432id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Mamjoan.pdf,20090410072432,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072432id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Mamjoan.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Mayurhat-I_933909ea.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Mayurhat-I.pdf,https://web.archive.org/web/20090410073856id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Mayurhat-I.pdf,20090410073856,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073856id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Mayurhat-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Mayurhat-II_d9fd6980.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Mayurhat-II.pdf,https://web.archive.org/web/20090410073924id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Mayurhat-II.pdf,20090410073924,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073924id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Mayurhat-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Ramnagar-I_373a0017.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Ramnagar-I.pdf,https://web.archive.org/web/20090410074942id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Ramnagar-I.pdf,20090410074942,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074942id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Ramnagar-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Ramnagar-II_c12f29ff.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Ramnagar-II.pdf,https://web.archive.org/web/20090410074800id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Ramnagar-II.pdf,20090410074800,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074800id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Hanskhali/Ramnagar-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_BIROHI-I_3e158079.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/BIROHI-I.pdf,https://web.archive.org/web/20090410074332id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/BIROHI-I.pdf,20090410074332,2026-09-06,nadia.nic.in,downloaded,71143,49611057b2633562f9db4083175d3508cb25554c6b6571edfd862459e99324f5
nadia_BIROHI-II_ae6e8535.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/BIROHI-II.pdf,https://web.archive.org/web/20090410074602id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/BIROHI-II.pdf,20090410074602,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074602id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/BIROHI-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Fatepur_59ae9e3a.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Fatepur.pdf,https://web.archive.org/web/20090410074126id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Fatepur.pdf,20090410074126,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074126id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Fatepur.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Form-B1_81f7918c.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Form-B1.pdf,https://web.archive.org/web/20090410074203id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Form-B1.pdf,20090410074203,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410074203id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Form-B1.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Haringhata-I_ef14eb12.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Haringhata-I.pdf,https://web.archive.org/web/20090410072240id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Haringhata-I.pdf,20090410072240,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410072240id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Haringhata-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Haringhata-II_076006f3.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Haringhata-II.pdf,https://web.archive.org/web/20090410073959id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Haringhata-II.pdf,20090410073959,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410073959id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Haringhata-II.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
nadia_Kastodanga-I_4fb90568.pdf,http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Kastodanga-I.pdf,https://web.archive.org/web/20090410075509id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Kastodanga-I.pdf,20090410075509,2026-09-06,nadia.nic.in,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20090410075509id_/http://nadia.nic.in/PanchayatElection08/Delimitation/Haringhata/Kastodanga-I.pdf (Caused by NewConnectionError(""HTTPSConnection(host='web.archive.org', port=443): Failed to establish a new connection: [Errno 61] Connection refused""))",,
