group,district,union,start_page,end_page,rows,category_counts
47,VILUPPURAM DISTRICT,KOLIYANUR PANCHAYAT UNION,26,27,43,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 11, 'general': 20}"
48,VILUPPURAM DISTRICT,KANDAMANGALAM PANCHAYAT UNION,27,27,45,"{'scwomen': 5, 'scgeneral': 10, 'generalwomen': 10, 'general': 20}"
49,VILUPPURAM DISTRICT,VIKRAVANDI PANCHAYAT UNION,27,27,50,"{'scwomen': 5, 'scgeneral': 10, 'generalwomen': 12, 'general': 23}"
50,VILUPPURAM DISTRICT,OLAKKUR PANCHAYAT UNION,28,28,52,"{'stgeneral': 1, 'scwomen': 7, 'scgeneral': 12, 'generalwomen': 11, 'general': 21}"
51,VILUPPURAM DISTRICT,MAILAM PANCHAYAT UNION,28,28,47,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 10, 'generalwomen': 10, 'general': 20}"
52,VILUPPURAM DISTRICT,VANUR PANCHAYAT UNION,28,29,65,"{'stgeneral': 1, 'scwomen': 8, 'scgeneral': 15, 'generalwomen': 14, 'general': 27}"
53,VILUPPURAM DISTRICT,VALLAM PANCHAYAT UNION,29,29,66,"{'stgeneral': 1, 'scwomen': 5, 'scgeneral': 11, 'generalwomen': 16, 'general': 33}"
54,VILUPPURAM DISTRICT,GINGEE PANCHAYAT UNION,29,30,60,"{'stgeneral': 1, 'scwomen': 4, 'scgeneral': 8, 'generalwomen': 16, 'general': 31}"
55,VILUPPURAM DISTRICT,MERKANAM PANCHAYAT UNION,30,30,56,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 12, 'generalwomen': 13, 'general': 24}"
56,VILUPPURAM DISTRICT,MELMALAYANUR PANCHAYAT UNION,31,31,55,"{'stgeneral': 1, 'scwomen': 3, 'scgeneral': 5, 'generalwomen': 16, 'general': 30}"
57,VILUPPURAM DISTRICT,KALLAKURICHI PANCHAYAT UNION,31,31,46,"{'scwomen': 6, 'scgeneral': 10, 'generalwomen': 10, 'general': 20}"
58,VILUPPURAM DISTRICT,CHINNASALEM PANCHAYAT UNION,31,32,50,"{'scwomen': 6, 'scgeneral': 12, 'generalwomen': 11, 'general': 21}"
59,VILUPPURAM DISTRICT,RISHIVANDHIYAM PANCHAYAT UNION,32,32,53,"{'scwomen': 6, 'scgeneral': 11, 'generalwomen': 12, 'general': 24}"
60,VILUPPURAM DISTRICT,SANKARAPURAM PANCHAYAT UNION,32,33,44,"{'stgeneral': 1, 'scwomen': 4, 'scgeneral': 7, 'generalwomen': 11, 'general': 21}"
61,VILUPPURAM DISTRICT,THIYAGADURGAM PANCHAYAT UNION,33,33,40,"{'scwomen': 6, 'scgeneral': 10, 'generalwomen': 8, 'general': 16}"
62,VILUPPURAM DISTRICT,KALRAYAN HILLS PANCHAYAT UNION,33,33,15,"{'stwomen': 4, 'stgeneral': 8, 'scgeneral': 1, 'generalwomen': 1, 'general': 1}"
63,VELLORE DISTRICT,Alangayam Panchayt Union,34,34,29,"{'stwomen': 2, 'stgeneral': 2, 'scwomen': 2, 'scgeneral': 2, 'generalwomen': 6, 'general': 15}"
64,VELLORE DISTRICT,Anaicut Panchayat Union,34,34,38,"{'stwomen': 2, 'stgeneral': 2, 'scwomen': 3, 'scgeneral': 5, 'generalwomen': 8, 'general': 18}"
65,VELLORE DISTRICT,Arakonam Panchayat Union,34,35,26,"{'stgeneral': 1, 'scwomen': 3, 'scgeneral': 4, 'generalwomen': 6, 'general': 12}"
66,VELLORE DISTRICT,Arcot Panchayat Union,35,35,39,"{'scwomen': 3, 'scgeneral': 6, 'generalwomen': 10, 'general': 20}"
67,VELLORE DISTRICT,Gudiyatham Panchayat Union,35,36,44,"{'scwomen': 4, 'scgeneral': 8, 'generalwomen': 11, 'general': 21}"
68,VELLORE DISTRICT,Jolarpet Panchayat Union,36,36,36,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 2, 'generalwomen': 10, 'general': 21}"
69,VELLORE DISTRICT,K.V.Kuppam Panchayat Union,36,36,39,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 9, 'general': 20}"
70,VELLORE DISTRICT,Kandhili Panchayat Union,36,37,39,"{'stgeneral': 1, 'scwomen': 3, 'scgeneral': 4, 'generalwomen': 10, 'general': 21}"
71,VELLORE DISTRICT,Kaniyambadi Panchayat Union,37,37,24,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 7, 'general': 12}"
72,VELLORE DISTRICT,Katpadi Panchayat Union,37,37,21,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 6, 'general': 11}"
73,VELLORE DISTRICT,Kaveripakkam Panchayat Union,37,38,55,"{'stgeneral': 1, 'scwomen': 5, 'scgeneral': 10, 'generalwomen': 14, 'general': 25}"
74,VELLORE DISTRICT,Madhanur Panchayat Union,38,39,36,"{'stwomen': 1, 'stgeneral': 1, 'scwomen': 4, 'scgeneral': 8, 'generalwomen': 7, 'general': 15}"
75,VELLORE DISTRICT,Natrampalli Panchayat Union,39,39,26,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 7, 'general': 15}"
76,VELLORE DISTRICT,Nemili Panchayat Union,39,39,52,"{'stgeneral': 1, 'scwomen': 5, 'scgeneral': 9, 'generalwomen': 13, 'general': 24}"
77,VELLORE DISTRICT,Pernambut Panchayat Union,40,40,51,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 12, 'generalwomen': 11, 'general': 21}"
78,VELLORE DISTRICT,Sholinghur Panchayat Union,40,41,45,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 12, 'general': 25}"
79,VELLORE DISTRICT,Thimiri Panchayat Union,41,41,55,"{'scwomen': 5, 'scgeneral': 10, 'generalwomen': 14, 'general': 26}"
80,VELLORE DISTRICT,Thirupathur Panchayat Union,41,42,34,"{'stgeneral': 1, 'scwomen': 3, 'scgeneral': 6, 'generalwomen': 9, 'general': 15}"
81,VELLORE DISTRICT,Vellore Panchayat Union,42,42,18,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 5, 'general': 7}"
82,VELLORE DISTRICT,Walajahpet Panchayat Union,42,42,36,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 10, 'general': 20}"
83,TIRUAVANNAMALAI DISTRICT,Tiruvannamalai Panchayat Union,43,43,69,"{'stwomen': 1, 'stgeneral': 1, 'scwomen': 6, 'scgeneral': 10, 'generalwomen': 16, 'general': 35}"
84,TIRUAVANNAMALAI DISTRICT,Kilpennathur Panchayat Union,43,44,45,"{'stgeneral': 1, 'scwomen': 4, 'scgeneral': 7, 'generalwomen': 11, 'general': 22}"
85,TIRUAVANNAMALAI DISTRICT,Thurinjapuram Panchayat Union,44,44,47,"{'stgeneral': 1, 'scwomen': 4, 'scgeneral': 6, 'generalwomen': 12, 'general': 24}"
86,TIRUAVANNAMALAI DISTRICT,Polur Panchayat Union,44,45,40,"{'stgeneral': 1, 'scwomen': 3, 'scgeneral': 4, 'generalwomen': 11, 'general': 21}"
87,TIRUAVANNAMALAI DISTRICT,Kalasapakkam Panchayat Union,45,45,45,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 11, 'general': 23}"
88,TIRUAVANNAMALAI DISTRICT,Chetpet Panchayat Union,45,46,49,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 15, 'general': 29}"
89,TIRUAVANNAMALAI DISTRICT,Chengam Panchayat Union,46,47,44,"{'stgeneral': 1, 'scwomen': 5, 'scgeneral': 10, 'generalwomen': 10, 'general': 18}"
90,TIRUAVANNAMALAI DISTRICT,Pudupalayam Panchayat Union,47,47,37,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 9, 'general': 17}"
91,TIRUAVANNAMALAI DISTRICT,Thandrampet Panchayat Union,47,48,47,"{'stwomen': 2, 'stgeneral': 1, 'scwomen': 4, 'scgeneral': 6, 'generalwomen': 10, 'general': 24}"
92,TIRUAVANNAMALAI DISTRICT,Jawadhu Hills Panchayat Union,48,48,11,"{'stwomen': 4, 'stgeneral': 6, 'general': 1}"
93,TIRUAVANNAMALAI DISTRICT,Cheyyar Panchayat Union,48,48,53,"{'stgeneral': 1, 'scwomen': 5, 'scgeneral': 9, 'generalwomen': 13, 'general': 25}"
94,TIRUAVANNAMALAI DISTRICT,Anakkavur Panchayat Union,49,49,55,"{'stgeneral': 1, 'scwomen': 5, 'scgeneral': 10, 'generalwomen': 14, 'general': 25}"
95,TIRUAVANNAMALAI DISTRICT,Vembakkam Panchayat Union,49,50,64,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 10, 'generalwomen': 16, 'general': 31}"
96,TIRUAVANNAMALAI DISTRICT,Vandavasi Panchayat Union,50,51,61,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 12, 'generalwomen': 15, 'general': 27}"
97,TIRUAVANNAMALAI DISTRICT,Thellar Panchayat Union,51,52,61,"{'stgeneral': 1, 'scwomen': 6, 'scgeneral': 11, 'generalwomen': 15, 'general': 28}"
98,TIRUAVANNAMALAI DISTRICT,Peranamallur Panchayat Union,52,52,57,"{'stgeneral': 1, 'scwomen': 4, 'scgeneral': 8, 'generalwomen': 15, 'general': 29}"
99,TIRUAVANNAMALAI DISTRICT,Arni Panchayat Union,52,53,38,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 10, 'general': 20}"
100,TIRUAVANNAMALAI DISTRICT,WestArni Panchayat Union,53,53,37,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 11, 'general': 20}"
101,SALEM DISTRICT,ATTUR PANCHAYAT UNION,54,54,20,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 3, 'generalwomen': 5, 'general': 9}"
102,SALEM DISTRICT,AYOTHIPATTINAM PANCHAYAT UNION,54,54,32,"{'stwomen': 1, 'stgeneral': 1, 'scwomen': 3, 'scgeneral': 6, 'generalwomen': 7, 'general': 14}"
103,SALEM DISTRICT,GANGAVALLI PANCHAYAT UNION,54,54,14,"{'stwomen': 1, 'stgeneral': 1, 'scwomen': 1, 'scgeneral': 2, 'generalwomen': 3, 'general': 6}"
104,SALEM DISTRICT,EDAPPADI PANCHAYAT UNION,54,54,10,"{'scgeneral': 1, 'generalwomen': 4, 'general': 5}"
105,SALEM DISTRICT,KADAYAMPATTI PANCHAYAT UNION,54,55,17,"{'stgeneral': 1, 'scwomen': 1, 'scgeneral': 2, 'generalwomen': 5, 'general': 8}"
106,SALEM DISTRICT,KOLATHUR PANCHAYAT UNION,55,55,14,"{'stwomen': 1, 'stgeneral': 1, 'scwomen': 1, 'scgeneral': 1, 'generalwomen': 3, 'general': 7}"
107,SALEM DISTRICT,KONGANAPURAM PANCHAYAT UNION,55,55,9,"{'scgeneral': 1, 'generalwomen': 3, 'general': 5}"
108,SALEM DISTRICT,MC.DONALD CHOULTRY PANCHAYAT UNION,55,55,12,"{'scgeneral': 1, 'generalwomen': 4, 'general': 7}"
109,SALEM DISTRICT,MECHERI PANCHAYAT UNION,55,55,17,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 5, 'general': 10}"
110,SALEM DISTRICT,NANGAVALLI PANCHAYAT UNION,55,55,9,"{'scgeneral': 1, 'generalwomen': 3, 'general': 5}"
111,SALEM DISTRICT,OMALUR PANCHAYAT UNION,55,56,33,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 8, 'general': 17}"
112,SALEM DISTRICT,PANAMARATHUPATTY PANCHAYAT UNION,56,56,20,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 10}"
113,SALEM DISTRICT,PEDDANAICKANPALAYAM PANCHAYAT UNION,56,56,36,"{'stwomen': 4, 'stgeneral': 7, 'scwomen': 2, 'scgeneral': 4, 'generalwomen': 6, 'general': 13}"
114,SALEM DISTRICT,SALEM PANCHAYAT UNION,56,56,14,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 4, 'general': 8}"
115,SALEM DISTRICT,SANKARI PANCHAYAT UNION,56,56,22,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 6, 'general': 11}"
116,SALEM DISTRICT,THALAIVASAL PANCHAYAT UNION,57,57,35,"{'scwomen': 4, 'scgeneral': 6, 'generalwomen': 8, 'general': 17}"
117,SALEM DISTRICT,THARAMANGALAM PANCHAYAT UNION,57,57,17,"{'scgeneral': 1, 'generalwomen': 6, 'general': 10}"
118,SALEM DISTRICT,VALAPADY PANCHAYAT UNION,57,57,20,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 10}"
119,SALEM DISTRICT,VEERAPANDY PANCHAYAT UNION,57,57,25,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 8, 'general': 14}"
120,SALEM DISTRICT,YERCAUD PANCHAYAT UNION,57,58,9,"{'stwomen': 2, 'stgeneral': 4, 'scgeneral': 1, 'generalwomen': 1, 'general': 1}"
121,NAMAKKAL DISTRICT,Elachipalayam Panchayat Union,59,59,29,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 7, 'general': 15}"
122,NAMAKKAL DISTRICT,Erumapatty Panchayat Union,59,59,24,"{'scwomen': 3, 'scgeneral': 4, 'generalwomen': 5, 'general': 12}"
123,NAMAKKAL DISTRICT,Kabilarmalai Panchayat Union,59,59,20,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 11}"
124,NAMAKKAL DISTRICT,Kollihills Panchayat Union,59,60,14,"{'stwomen': 5, 'stgeneral': 8, 'general': 1}"
125,NAMAKKAL DISTRICT,Mallasamudram Panchayat Union,60,60,27,"{'scwomen': 2, 'scgeneral': 5, 'generalwomen': 7, 'general': 13}"
126,NAMAKKAL DISTRICT,Mohanur Panchayat Union,60,60,25,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 7, 'general': 13}"
127,NAMAKKAL DISTRICT,Namagiripet Panchayat Union,60,60,18,"{'stwomen': 1, 'stgeneral': 2, 'scwomen': 2, 'scgeneral': 2, 'generalwomen': 3, 'general': 8}"
128,NAMAKKAL DISTRICT,Namakkal Panchayat Union,60,61,25,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 6, 'general': 11}"
129,NAMAKKAL DISTRICT,Pallipalayam Panchayat Union,61,61,15,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 4, 'general': 9}"
130,NAMAKKAL DISTRICT,Paramathi Panchayat Union,61,61,20,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 5, 'general': 10}"
131,NAMAKKAL DISTRICT,Puduchatram Panchayat Union,61,62,21,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 5, 'general': 11}"
132,NAMAKKAL DISTRICT,Rasipuram Panchayat Union,62,62,20,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 5, 'general': 9}"
133,NAMAKKAL DISTRICT,Sendamangalam Panchayat Union,62,62,14,"{'stgeneral': 1, 'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 6}"
134,NAMAKKAL DISTRICT,Tiruchengode Panchayat Union,62,62,26,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 7, 'general': 14}"
135,NAMAKKAL DISTRICT,Vennandur Panchayat Union,62,62,24,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 4, 'generalwomen': 6, 'general': 11}"
136,DHARMAPURI DISTRICT,DHARMAPURI PANCHAYAT UNION,63,63,28,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 9, 'general': 16}"
137,DHARMAPURI DISTRICT,NALLAMPALLI PANCHAYAT UNION,63,63,32,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 9, 'general': 19}"
138,DHARMAPURI DISTRICT,PENNAGARAM PANCHAYAT UNION,64,64,33,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 2, 'generalwomen': 9, 'general': 19}"
139,DHARMAPURI DISTRICT,HARUR PANCHAYAT UNION,64,64,34,"{'stwomen': 1, 'stgeneral': 2, 'scwomen': 4, 'scgeneral': 7, 'generalwomen': 7, 'general': 13}"
140,DHARMAPURI DISTRICT,MORAPPUR PANCHAYAT UNION,65,65,43,"{'scwomen': 4, 'scgeneral': 7, 'generalwomen': 11, 'general': 21}"
141,DHARMAPURI DISTRICT,PAPPIREDDIPATTI PANCHAYAT UNION,65,65,19,"{'stwomen': 2, 'stgeneral': 2, 'scwomen': 2, 'scgeneral': 2, 'generalwomen': 3, 'general': 8}"
142,DHARMAPURI DISTRICT,KARIMANGALAM PANCHAYAT UNION,66,66,30,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 9, 'general': 18}"
143,DHARMAPURI DISTRICT,PALACODE PANCHAYAT UNION,66,66,32,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 10, 'general': 19}"
144,KRISHNAGIRI DISTRICT,Bargur Panchayat Union,67,67,36,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 10, 'general': 21}"
145,KRISHNAGIRI DISTRICT,Hosur Panchayat Union,67,67,26,"{'scwomen': 2, 'scgeneral': 3, 'generalwomen': 7, 'general': 14}"
146,KRISHNAGIRI DISTRICT,Kaveripattinam Panchayat Union,67,67,36,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 11, 'general': 22}"
147,KRISHNAGIRI DISTRICT,Kelamangalam Panchayat Union,68,68,28,"{'stgeneral': 1, 'scwomen': 2, 'scgeneral': 2, 'generalwomen': 8, 'general': 15}"
148,KRISHNAGIRI DISTRICT,Krishnagiri Panchayat Union,68,68,30,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 8, 'general': 18}"
149,KRISHNAGIRI DISTRICT,Mathur Panchayat Union,68,68,24,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 7, 'general': 14}"
150,KRISHNAGIRI DISTRICT,Shoolagiri Panchayat Union,68,69,42,"{'scwomen': 2, 'scgeneral': 4, 'generalwomen': 12, 'general': 24}"
151,KRISHNAGIRI DISTRICT,Thally Panchayat Union,69,69,50,"{'stwomen': 1, 'stgeneral': 1, 'scwomen': 3, 'scgeneral': 4, 'generalwomen': 13, 'general': 28}"
152,KRISHNAGIRI DISTRICT,Uthangarai Panchayat Union,69,69,34,"{'scwomen': 3, 'scgeneral': 5, 'generalwomen': 9, 'general': 17}"
153,KRISHNAGIRI DISTRICT,Veppanapalli Panchayat Union,69,70,27,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 8, 'general': 16}"
154,ERODE DISTRICT,Erode Panchayat Union,71,71,6,"{'scgeneral': 1, 'generalwomen': 2, 'general': 3}"
155,ERODE DISTRICT,Modakkurichi Panchayat Union,71,71,23,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 6, 'general': 13}"
156,ERODE DISTRICT,Kodumudi Panchayat Union,71,71,10,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 3, 'general': 5}"
157,ERODE DISTRICT,Perundurai Panchayat Union,71,71,29,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 8, 'general': 17}"
158,ERODE DISTRICT,Chennimalai Panchayat Union,71,71,22,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 6, 'general': 12}"
159,ERODE DISTRICT,Gobichettipalayam Panchayat Union,71,72,21,"{'scwomen': 2, 'scgeneral': 2, 'generalwomen': 5, 'general': 12}"
160,ERODE DISTRICT,Nambiyur Panchayat Union,72,72,15,"{'scwomen': 1, 'scgeneral': 2, 'generalwomen': 4, 'general': 8}"
161,ERODE DISTRICT,Thookkanaickenpalayam Panchayat Union,72,72,10,"{'scwomen': 1, 'scgeneral': 1, 'generalwomen': 3, 'general': 5}"
