source_page,side,line,raw_text
21,right,1,1 2 3
21,right,2,KAMMAPURAM PANCHAYAT UNION Contd
22,left,1,1 2 3
22,left,2,KAMMAPURAM PANCHAYAT UNION Contd
22,left,4,NALLUR PANCHAYAT UNION
22,left,54,Page 20
22,right,1,1 2 3
22,right,2,NALLUR PANCHAYAT UNION Contd
22,right,18,MANGALORE PANCHAYAT UNION
23,left,1,1 2 3
23,left,2,MANGALORE PANCHAYAT UNION Contd
23,left,19,Page 21
23,right,1,1 2 3
23,right,2,MANGALORE PANCHAYAT UNION Contd
24,left,1,VILUPPURA
24,left,2,VILLAGE PANCHA
24,left,3,Reservation of Seats for Scheduled Caste/Scheduled Tr
24,left,4,Tamilna
24,left,5,Sl.No Name of the Village Panchayat Category to which
24,left,6,reservation is made
24,left,7,1 2 3
24,left,8,TIRUKOILUR PANCHAYAT UNION
24,left,61,Page 22
24,right,1,AM DISTRICT
24,right,2,AYAT PRESIDENTS
24,right,3,ribes and Women in the Village Panchayat President in
24,right,4,adu State
24,right,5,Sl.No Name of the Village Panchayat Category to which
24,right,6,reservation is made
24,right,7,1 2 3
24,right,8,MUGAIYUR PANCHAYAT UNION
25,left,1,1 2 3
25,left,2,MUGAIYUR PANCHAYAT UNION Contd..
25,left,14,THIRUVENNAINALLUR PANCHAYAT UNION
25,left,62,Page 23
25,right,1,1 2 3
25,right,2,THIRUVENNAINALLUR PANCHAYAT UNION Contd..
25,right,5,THIRUNAVALUR PANCHAYAT UNION
25,right,50,ULUNDURPET PANCHAYAT UNION
26,left,1,1 2 3
26,left,2,ULUNDURPET PANCHAYAT UNION Contd..
26,left,45,KANAI PANCHAYAT UNION
26,left,62,Page 24
26,right,1,1 2 3
26,right,2,KANAI PANCHAYAT UNION Contd..
26,right,38,KOLIYANUR PANCHAYAT UNION
27,left,1,1 2 3
27,left,2,KOLIYANUR PANCHAYAT UNION Contd..
27,left,23,KANDAMANGALAM PANCHAYAT UNION
27,left,62,Page 25
27,right,1,1 2 3
27,right,2,KANDAMANGALAM PANCHAYAT UNION Contd..
27,right,10,VIKRAVANDI PANCHAYAT UNION
28,left,1,1 2 3
28,left,2,OLAKKUR PANCHAYAT UNION
28,left,55,MAILAM PANCHAYAT UNION
28,left,62,Page 26
28,right,1,1 2 3
28,right,2,MAILAM PANCHAYAT UNION Contd..
28,right,44,VANUR PANCHAYAT UNION
29,left,1,1 2 3
29,left,2,VANUR PANCHAYAT UNION Contd..
29,left,51,VALLAM PANCHAYAT UNION
29,left,62,Page 27
29,right,1,1 2 3
29,right,2,VALLAM PANCHAYAT UNION Contd..
29,right,59,GINGEE PANCHAYAT UNION
30,left,1,1 2 3
30,left,2,GINGEE PANCHAYAT UNION Contd..
30,left,61,Page 28
30,right,1,1 2 3
30,right,2,MERKANAM PANCHAYAT UNION
31,left,1,1 2 3
31,left,2,MELMALAYANUR PANCHAYAT UNION
31,left,58,KALLAKURICHI PANCHAYAT UNION
31,left,62,Page 29
31,right,1,1 2 3
31,right,2,KALLAKURICHI PANCHAYAT UNION Contd..
31,right,46,CHINNASALEM PANCHAYAT UNION
32,left,1,1 2 3
32,left,2,CHINNASALEM PANCHAYAT UNION Contd..
32,left,37,RISHIVANDHIYAM PANCHAYAT UNION
32,left,62,Page 30
32,right,1,1 2 3
32,right,2,RISHIVANDHIYAM PANCHAYAT UNION Contd..
32,right,32,SANKARAPURAM PANCHAYAT UNION
33,left,1,1 2 3
33,left,2,SANKARAPURAM PANCHAYAT UNION Contd..
33,left,18,THIYAGADURGAM PANCHAYAT UNION
33,left,59,Page 31
33,right,1,1 2 3
33,right,2,KALRAYAN HILLS PANCHAYAT UNION
34,left,1,VELLORE
34,left,2,VILLAGE PANCHA
34,left,3,Reservation of Seats for Scheduled Caste / Scheduled T
34,left,4,Tamil Na
34,left,5,Category to which
34,left,6,Sl. No. Name of the Village Panchayat
34,left,7,reservation is made
34,left,8,.(1) .(2) .(3)
34,left,9,Alangayam Panchayt Union
34,left,39,Anaicut Panchayat Union
34,left,51,Page 32
34,right,1,DISTRICT
34,right,2,AYAT PRESIDENTS
34,right,3,Tribes and Women in the Village Panchayat President in
34,right,4,adu State
34,right,5,Category to which
34,right,6,Sl. No. Name of the Village Panchayat
34,right,7,reservation is made
34,right,8,.(1) .(2) .(3)
34,right,9,"Anaicut Panchayat Union Contd.,"
34,right,37,Arakonam Panchayat Union
35,left,1,.(1) .(2) .(3)
35,left,2,"Arakonam Panchayat Union Contd.,"
35,left,16,Arcot Panchayat Union
35,left,43,Page 33
35,right,1,.(1) .(2) .(3)
35,right,2,"Arcot Panchayat Union Contd.,"
35,right,16,Gudiyatham Panchayat Union
36,left,1,.(1) .(2) .(3)
36,left,2,"Gudiyatham Panchayat Union Contd.,"
36,left,21,Jolarpet Panchayat Union
36,left,53,Page 34
36,right,1,.(1) .(2) .(3)
36,right,2,"Jolarpet Panchayat Union Contd.,"
36,right,8,K.V.Kuppam Panchayat Union
36,right,48,Kandhili Panchayat Union
37,left,1,.(1) .(2) .(3)
37,left,2,"Kandhili Panchayat Union contd.,"
37,left,39,Kaniyambadi Panchayat Union
37,left,46,Page 35
37,right,1,.(1) .(2) .(3)
37,right,2,"Kaniyambadi Panchayat Union contd.,"
37,right,21,Katpadi Panchayat Union
37,right,43,Kaveripakkam Panchayat Union
38,left,1,.(1) .(2) .(3)
38,left,2,"Kaveripakkam Panchayat Union contd.,"
38,left,47,Page 36
38,right,1,.(1) .(2) .(3)
38,right,2,"Kaveripakkam Panchayat Union contd.,"
38,right,12,Madhanur Panchayat Union
39,left,1,.(1) .(2) .(3)
39,left,2,"Madhanur Panchayat Union contd.,"
39,left,6,Natrampalli Panchayat Union
39,left,33,Nemili Panchayat Union
39,left,44,Page 37
39,right,1,.(1) .(2) .(3)
39,right,2,"Nemili Panchayat Union contd.,"
40,left,1,.(1) .(2) .(3)
40,left,2,Pernambut Panchayat Union
40,left,44,Page 38
40,right,1,.(1) .(2) .(3)
40,right,2,"Pernambut Panchayat Union contd.,"
40,right,13,Sholinghur Panchayat Union
41,left,1,.(1) .(2) .(3)
41,left,2,"Sholinghur Panchayat Union contd.,"
41,left,19,Thimiri Panchayat Union
41,left,45,Page 39
41,right,1,.(1) .(2) .(3)
41,right,2,"Thimiri Panchayat Union contd.,"
41,right,33,Thirupathur Panchayat Union
42,left,1,.(1) .(2) .(3)
42,left,2,"Thirupathur Panchayat Union contd.,"
42,left,28,Vellore Panchayat Union
42,left,43,Page 40
42,right,1,.(1) .(2) .(3)
42,right,2,"Vellore Panchayat Union contd.,"
42,right,7,Walajahpet Panchayat Union
43,left,1,TIRUAVANNAMA
43,left,2,VILLAGE PANCHAY
43,left,3,Reservation of Seat for Schedule Caste/Schedule Tribe
43,left,4,Tamil Nad
43,left,5,Sl. Category to which
43,left,6,Name of the Village Panchayat
43,left,7,No. reservtion to made
43,left,8,1 2 3
43,left,9,Tiruvannamalai Panchayat Union
43,left,51,Page 41
43,right,1,ALAI DISTRICT
43,right,2,YAT PRESIDENTS
43,right,3,es and Women in the Village Panchayat President in
43,right,4,du State.
43,right,5,Sl. Name of the Village Category to which
43,right,6,No. Panchayat reservtion to made
43,right,7,1 2 3
43,right,8,Tiruvannamalai Panchayat Union Contd.
43,right,37,Kilpennathur Panchayat Union
44,left,1,1 2 3
44,left,2,"Kilpennathur Panchayat Union Contd.,"
44,left,36,Thurinjapuram Panchayat Union
44,left,49,Page 42
44,right,1,1 2 3
44,right,2,"Thurinjapuram Panchayat Union Contd.,"
44,right,38,Polur Panchayat Union
45,left,1,1 2 3
45,left,2,"Polur Panchayat Union Contd.,"
45,left,33,Kalasapakkam Panchayat Union
45,left,44,Page 43
45,right,1,1 2 3
45,right,2,"Kalasapakkam Panchayat Union Contd.,"
45,right,38,Chetpet Panchayat Union
46,left,1,1 2 3
46,left,2,"Chetpet Panchayat Union Contd.,"
46,left,43,Page 44
46,right,1,1 2 3
46,right,2,"Chetpet Panchayat Union Contd.,"
46,right,7,Chengam Panchayat Union
47,left,1,1 2 3
47,left,2,"Chengam Panchayat Union Contd.,"
47,left,12,Pudupalayam Panchayat Union
47,left,43,Page 45
47,right,1,1 2 3
47,right,2,"Pudupalayam Panchayat Union Contd.,"
47,right,10,Thandrampet Panchayat Union
48,left,1,1 2 3
48,left,2,"Thandrampet Panchayat Union Contd.,"
48,left,18,Jawadhu Hills Panchayat Union
48,left,30,Cheyyar Panchayat Union
48,left,44,Page 46
48,right,1,1 2 3
48,right,2,"Cheyyar Panchayat Union Contd.,"
49,left,1,1 2 3
49,left,2,Anakkavur Panchayat Union
49,left,42,Page 47
49,right,1,1 2 3
49,right,2,"Anakkavur Panchayat Union Contd.,"
49,right,19,Vembakkam Panchayat Union
50,left,1,1 2 3
50,left,2,"Vembakkam Panchayat Union Contd.,"
50,left,44,Page 48
50,right,1,1 2 3
50,right,2,Vandavasi Panchayat Union
51,left,1,1 2 3
51,left,2,"Vandavasi Panachayat Union Contd.,"
51,left,24,Thellar Panchayat Union
51,left,43,Page 49
51,right,1,1 2 3
51,right,2,"Thellar Panchayat Union Contd.,"
52,left,1,1 2 3
52,left,2,"Thellar Panchayat Union Contd.,"
52,left,6,Peranamallur Panchayat Union
52,left,43,Page 50
52,right,1,1 2 3
52,right,2,"Peranamallur Panchayat Union Contd.,"
52,right,24,Arni Panchayat Union
53,left,1,1 2 3
53,left,2,"Arni Panchayat Union Contd.,"
53,left,23,WestArni Panchayat Union
53,left,33,Page 51
53,right,1,1 2 3
53,right,2,"WestArni Panchayat Union Contd.,"
54,left,1,SALE
54,left,2,VILLAGE PAN
54,left,3,Reservation of Seats for Scheduled Caste/Scheduled T
54,left,4,N
54,left,5,Category to which
54,left,6,Sl. No Name of the Village Panchayat
54,left,7,reservation is made
54,left,8,1 2 3
54,left,9,ATTUR PANCHAYAT UNION
54,left,30,AYOTHIPATTINAM PANCHAYAT UNION
54,left,54,Page 52
54,right,1,EM DISTRICT
54,right,2,NCHAYAT PRESIDENTS
54,right,3,Tribes and Women in the Village Panchayat President in Tamil
54,right,4,Nadu State.
54,right,5,Name of the Village Category to which
54,right,6,Sl. No
54,right,7,Panchayat reservation is made
54,right,8,1 2 3
54,right,9,"AYOTHIPATTINAM PANCHAYAT UNION Contd.,"
54,right,19,GANGAVALLI PANCHAYAT UNION
54,right,34,EDAPPADI PANCHAYAT UNION
54,right,45,KADAYAMPATTI PANCHAYAT UNION
55,left,1,1 2 3
55,left,2,"KADAYAMPATTI PANCHAYAT UNION Contd.,"
55,left,12,KOLATHUR PANCHAYAT UNION
55,left,27,KONGANAPURAM PANCHAYAT UNION
55,left,37,MC.DONALD CHOULTRY PANCHAYAT UNION
55,left,50,MECHERI PANCHAYAT UNION
55,left,53,Page 53
55,right,1,1 2 3
55,right,2,"MECHERI PANCHAYAT UNION Contd.,"
55,right,18,NANGAVALLI PANCHAYAT UNION
55,right,28,OMALUR PANCHAYAT UNION
56,left,1,1 2 3
56,left,2,"OMALUR PANCHAYAT UNION Contd.,"
56,left,10,PANAMARATHUPATTY PANCHAYAT UNION
56,left,31,PEDDANAICKANPALAYAM PANCHAYAT UNION
56,left,55,Page 54
56,right,1,1 2 3
56,right,2,"PEDDANAICKANPALAYAM PANCHAYAT UNION Contd.,"
56,right,16,SALEM PANCHAYAT UNION
56,right,31,SANKARI PANCHAYAT UNION
57,left,1,1 2 3
57,left,2,THALAIVASAL PANCHAYAT UNION
57,left,38,THARAMANGALAM PANCHAYAT UNION
57,left,56,Page 55
57,right,1,1 2 3
57,right,2,VALAPADY PANCHAYAT UNION
57,right,23,VEERAPANDY PANCHAYAT UNION
57,right,49,YERCAUD PANCHAYAT UNION
58,left,1,1 2 3
58,left,2,"YERCAUD PANCHAYAT UNION Contd.,"
58,left,7,Page 56
58,right,1,1 2 3
59,left,1,NAMAKKA
59,left,2,RESERVATION FOR VILLA
59,left,3,Reservation of Seats for Scheduled Caste / Scheduled
59,left,4,Tamil
59,left,5,Sl. Category to which
59,left,6,Name of the Village Panchayat
59,left,7,No reservation is made
59,left,8,1 2 3
59,left,9,Elachipalayam Panchayat Union
59,left,39,Erumapatty Panchayat Union
59,left,49,Page 57
59,right,1,AL DISTRICT
59,right,2,AGE PANCHAYAT PRESIDENTS
59,right,3,d Tribes and Women in the Village Panchayat President in
59,right,4,Nadu State
59,right,5,Category to which
59,right,6,Sl. No Name of the Village Panchayat
59,right,7,reservation is made
59,right,8,1 2 3
59,right,9,"Erumapatty Panchayat Union Contd.,"
59,right,25,Kabilarmalai Panchayat Union
59,right,46,Kollihills Panchayat Union
60,left,1,1 2 3
60,left,2,"Kollihills Panchayat Union Contd.,"
60,left,15,Mallasamudram Panchayat Union
60,left,43,Mohanur Panchayat Union
60,left,47,Page 58
60,right,1,1 2 3
60,right,2,"Mohanur Panchayat Union Contd.,"
60,right,25,Namagiripet Panchayat Union
60,right,44,Namakkal Panchayat Union
61,left,1,1 2 3
61,left,2,"Namakkal Panchayat Union Contd.,"
61,left,26,Pallipalayam Panchayat Union
61,left,42,Page 59
61,right,1,1 2 3
61,right,2,Paramathi Panchayat Union
61,right,23,Puduchatram Panchayat Union
62,left,1,1 2 3
62,left,2,"Puduchatram Panchayat Union Contd.,"
62,left,5,Rasipuram Panchayat Union
62,left,26,Sendamangalam Panchayat Union
62,left,41,Tiruchengode Panchayat Union
62,left,48,Page 60
62,right,1,1 2 3
62,right,2,"Tiruchengode Panchayat Union Contd.,"
62,right,23,Vennandur Panchayat Union
63,left,1,DHARMAP
63,left,2,Reservation of Villag
63,left,3,Reservation of seats for Scheduled Tribes / Schedule
63,left,4,in Tamil
63,left,5,Sl. NO Name of the Village Panchayat Category to which
63,left,6,reservation is made
63,left,7,1 2 3
63,left,8,DHARMAPURI PANCHAYAT UNION
63,left,37,Page 61
63,right,1,PURI DISTRICT
63,right,2,ge Panchayat Presidents
63,right,3,ed Casts and Women in the village Panchayat President
63,right,4,l Nadu State
63,right,5,Sl. Name of the Village Panchayat Category to which reservation is
63,right,6,NO made
63,right,7,1 2 3
63,right,8,NALLAMPALLI PANCHAYAT UNION
64,left,1,1 2 3
64,left,2,PENNAGARAM PANCHAYAT UNION
64,left,36,Page 62
64,right,1,1 2 3
64,right,2,HARUR PANCHAYAT UNION
65,left,1,1 2 3
65,left,2,MORAPPUR PANCHAYAT UNION
65,left,35,Page 63
65,right,1,1 2 3
65,right,2,"MORAPPUR PANCHAYAT UNION Contd.,"
65,right,14,PAPPIREDDIPATTI PANCHAYAT UNION
66,left,1,1 2 3
66,left,2,KARIMANGALAM PANCHAYAT UNION
66,left,33,Page 64
66,right,1,1 2 3
66,right,2,PALACODE PANCHAYAT UNION
67,left,1,KRISHNAGIR
67,left,2,Village Pancha
67,left,3,Reservation of Seats for Scheduled Caste/Scheduled Tribes a
67,left,4,Sta
67,left,5,Category to which reservation
67,left,6,Sl. No Name of the Village Panchayat
67,left,7,is made
67,left,8,1 2 3
67,left,9,Bargur Panchayat Union
67,left,46,Hosur Panchayat Union
67,left,60,Page 65
67,right,1,RI DISTRICT
67,right,2,ayat Presidents
67,right,3,and Women in the Village Panchayat President in Tamil Nadu
67,right,4,ate.
67,right,5,Category to which reservation
67,right,6,Sl.No Name of the Village Panchayat
67,right,7,is made
67,right,8,1 2 3
67,right,9,Hosur Panchayat Union Contd…
67,right,23,Kaveripattinam Panchayat Union
68,left,1,1 2 3
68,left,2,Kelamangalam Panchayat Union
68,left,31,Krishnagiri Panchayat Union
68,left,62,Page 66
68,right,1,1 2 3
68,right,2,Mathur Panchayat Union
68,right,27,Shoolagiri Panchayat Union
69,left,1,1 2 3
69,left,2,Shoolagiri Panchayat Union Contd…
69,left,11,Thally Panchayat Union
69,left,56,Page 67
69,right,1,1 2 3
69,right,2,Thally Panchayat Union Contd…
69,right,9,Uthangarai Panchayat Union
69,right,44,Veppanapalli Panchayat Union
70,left,1,1 2 3
70,left,2,Veppanapalli Panchayat Union Contd….
70,left,19,Page 68
70,right,1,1 2 3
71,left,1,ERODE DIST
71,left,2,VILLAGE PANCHAYA
71,left,3,Reservation of Seats for Scheduled Caste/Scheduled Tribes a
71,left,4,Nadu Sta
71,left,5,Name of the Village Category to which
71,left,6,Sl. No
71,left,7,Panchayat reservation is made
71,left,8,1 2 3
71,left,9,Erode Panchayat Union
71,left,16,Modakkurichi Panchayat Union
71,left,40,Kodumudi Panchayat Union
71,left,51,Perundurai Panchayat Union
71,right,1,TRICT
71,right,2,AT PRESIDENTS
71,right,3,and Women in the Village Panchayat President in Tami
71,right,4,ate.
71,right,5,Category to
71,right,6,Name of the Village
71,right,7,Sl. No which reservation
71,right,8,Panchayat
71,right,9,is made
71,right,10,1 2 3
71,right,11,"Perundurai Panchayat Union contd…,"
71,right,27,Chennimalai Panchayat Union
71,right,50,Gobichettipalayam Panchayat Union
72,left,1,1 2 3
72,left,2,"Gobichettipalayam Panchayat Union Contd.,"
72,left,7,Nambiyur Panchayat Union
72,left,23,Thookkanaickenpalayam Panchayat Union
72,left,34,Sathyamangalam Panchayat Union
72,left,50,Bhavanisagar Panchayat Union
72,right,1,1 2 3
72,right,2,Thalavadi Panchayat Union
72,right,13,Bhavani Panchayat Union
72,right,29,Anthiyur Panchayat Union
72,right,44,Ammapettai Panchayat Union
73,left,1,COIMBATORE D
73,left,2,VILLAGE PANCHAYAT
73,left,3,Reservation of Seats for Scheduled Castes/Scheduled
73,left,4,President in Tamil
73,left,5,Sl. Category to which reservation is
73,left,6,Name of the Village Panchayat
73,left,7,No. made
73,left,8,1 2 3
73,left,9,Annur Panchayat Union
73,left,31,Anaimalai Panchayat Union
73,left,51,Karamadai Panchayat Union
73,left,58,Page 71
73,right,1,DISTRICT
73,right,2,T PRESIDENTS
73,right,3,Tribes and Women in the Village Panchayat
73,right,4,Nadu State
73,right,5,Name of the Village Category to which
73,right,6,Sl.No.
73,right,7,Panchayat reservation is made
73,right,8,4 5 6
73,right,9,"Karamadai Panchayat Union Contd.,"
73,right,21,Kinathukadavu Panchayat Union
74,left,1,1 2 3
74,left,2,Madukkarai Panchayat Union
74,left,12,Periyanaickenpalayam Panchayat Union
74,left,22,Pollachi (North) Panchayat Union
74,left,59,Page 72
74,right,1,4 5 6
74,right,2,"Pollachi (North)Panchayat Union Contd.,"
74,right,6,Pollachi(South) Panchayat Union
74,right,33,Sulthanpet Panchayat Union
74,right,54,Sulur Panchayat Union
75,left,1,1 2 3
75,left,2,"Sulur Panchayat Union Contd.,"
75,left,16,Sarkarsamakulam Panchayat Union
75,left,24,Page 73
75,right,1,4 5 6
75,right,2,Thondamuthur Panchayat Union
76,left,1,TIRUPU
76,left,2,VILLAGE PANC
76,left,3,Reservation of Seats for Scheduled Caste/Sche
76,left,4,Category to
76,left,5,Sl. Name of the Village
76,left,6,which reservation
76,left,7,No Panchayat
76,left,8,is made
76,left,9,1 2 3
76,left,10,Avinashi Panchayat Union
76,left,42,Dharapuram Panchayat Union
76,left,59,Page 74
76,right,1,UR DISTRICT
76,right,2,CHAYAT PRESIDENTS
76,right,3,eduled Tribes and Women in the Village Panchayat
76,right,4,Sl. Name of the Village Category to which
76,right,5,No Panchayat reservation is made
76,right,6,1 2 3
76,right,7,Gudimangalam Panchyat Union
76,right,31,Kangeyam Panchayat Union
76,right,47,Kundadam Panchayat Union
77,left,1,1 2 3
77,left,2,"Kundadam Panchayat Union Contd.,"
77,left,19,Madathukkulam Panchayat Union
77,left,31,Mulanur Panchayat Union
77,left,44,Palladam Panchayat Union
77,left,61,Page 75
77,right,1,1 2 3
77,right,2,"Palladam Panchayat Union Contd.,"
77,right,7,Pongalur Panchayat Union
77,right,24,Tiruppur Panchayat Union
77,right,38,Udumalpet Panchayat Union
78,left,1,1 2 3
78,left,2,"Udumalpet Panchayat Union Contd.,"
78,left,19,Uthukkuli Panchayat Union
78,left,57,Page 76
78,right,1,1 2 3
78,right,2,Vellakovil Panchayat Union
79,single,1,NILGIRIS DISTRICT
79,single,2,Village Panchayat Presidents
79,single,3,Reservation of Seats for Scheduled Caste/Scheduled Tribes and Women in the
79,single,4,Village Panchayat President in Tamil Nadu State.
79,single,5,Sl.No Name of the Village Panchayat Category to which reservation is made
79,single,6,1 2 3
79,single,7,Udhagamandalam Panchayat Union
79,single,21,Coonoor Panchayat Union
79,single,28,Gudalur Panchayat Union
79,single,34,Kotagiri Panchayat Union
79,single,46,Page 77
80,left,1,THANJA
80,left,2,VILLAGE PANC
80,left,3,Reservation of Seats for Scheduled Caste / Schedul
80,left,4,Tam
80,left,5,Sl. Name of the Village Category to which
80,left,6,No Panchayat reservation is made
80,left,7,1 2 3
80,left,8,Thanjavur Panchayat Union
80,left,54,Page 78
80,right,1,AVUR DISTRICT
80,right,2,CHAYAT PRESIDENTS
80,right,3,led Tribes and Women in the Village Panchayat President in
80,right,4,mil Nadu State
80,right,5,Sl. Name of the Village Category to which
80,right,6,No Panchayat reservation is made
80,right,7,1 2 3
80,right,8,"Thanjavur Panchayat Union Contd.,"
80,right,25,Kumbakonam Panchayat Union
81,left,1,1 2 3
81,left,2,"Kumbakonam Panchayat Union Contd.,"
81,left,21,Papansam Panchayat Union
81,left,56,Page 79
81,right,1,1 2 3
81,right,2,Thiruvidaimarudur Panchayat Union
81,right,51,Thiruvaiyaru Panchayat Union
82,left,1,1 2 3
82,left,2,"Thiruvaiyaru Panchayat Union Contd.,"
82,left,40,Thiruppanandal Panchayat Union
82,left,57,Page 80
