source_page,side,line,raw_text,serial,name,category
4,right,9,35 Paleswaram General (Women),35,Paleswaram,General (Women)
4,right,10,36 Karuveppampoondi General (Women),36,Karuveppampoondi,General (Women)
4,right,11,37 Pazhaveri General (Women),37,Pazhaveri,General (Women)
4,right,12,38 Vayalakkavoor General (Women),38,Vayalakkavoor,General (Women)
4,right,13,39 Thottanaval General (Women),39,Thottanaval,General (Women)
4,right,14,40 Visoor General (Women),40,Visoor,General (Women)
4,right,15,41 Sithnakkavur General (Women),41,Sithnakkavur,General (Women)
4,right,16,42 Kariamangalam General (Women),42,Kariamangalam,General (Women)
4,right,17,43 Silambakkam General,43,Silambakkam,General
4,right,18,44 Manampathy General,44,Manampathy,General
4,right,19,45 Chinnalambadi General,45,Chinnalambadi,General
4,right,20,46 Athiyurmelduli General,46,Athiyurmelduli,General
4,right,21,47 Alisoor General,47,Alisoor,General
4,right,22,48 Puliyur General,48,Puliyur,General
4,right,23,49 Orakkattupettai General,49,Orakkattupettai,General
4,right,24,50 Menallur General,50,Menallur,General
4,right,25,51 Marudam General,51,Marudam,General
4,right,26,52 Manampathy Kandigai General,52,Manampathy Kandigai,General
4,right,27,53 Madur General,53,Madur,General
4,right,28,54 Melpakkam General,54,Melpakkam,General
4,right,29,55 Thalavarampoondi General,55,Thalavarampoondi,General
4,right,30,56 Hanumanthandalam General,56,Hanumanthandalam,General
4,right,31,57 Thinayampoondi General,57,Thinayampoondi,General
4,right,32,58 Thirumukudal General,58,Thirumukudal,General
4,right,33,59 Sirupinayur General,59,Sirupinayur,General
4,right,34,60 Sathananjeri General,60,Sathananjeri,General
4,right,35,61 Kavampair General,61,Kavampair,General
4,right,36,62 Thiruvanaikoil General,62,Thiruvanaikoil,General
4,right,37,63 Kattiampandal General,63,Kattiampandal,General
4,right,38,64 Kavithandalam General,64,Kavithandalam,General
4,right,39,65 Rettamangalam General,65,Rettamangalam,General
4,right,40,66 Pennalur General,66,Pennalur,General
4,right,41,67 Ammyappanallur General,67,Ammyappanallur,General
4,right,42,68 Vadathavur General,68,Vadathavur,General
4,right,43,69 Pulivoy General,69,Pulivoy,General
4,right,44,70 Pullampakkam General,70,Pullampakkam,General
4,right,45,71 Neyyadivakkam General,71,Neyyadivakkam,General
4,right,46,72 Kadalmangalam General,72,Kadalmangalam,General
4,right,47,73 Pullipakkam General,73,Pullipakkam,General
5,left,3,1 Akkamapuram ST (General),1,Akkamapuram,ST (General)
5,left,4,2 Kappankottur SC (Women),2,Kappankottur,SC (Women)
5,left,5,3 Vallakkottai SC (Women),3,Vallakkottai,SC (Women)
5,left,6,4 Thandalam SC (Women),4,Thandalam,SC (Women)
5,left,7,5 O.M.Mangalam SC (Women),5,O.M.Mangalam,SC (Women)
5,left,8,6 Echoor SC (Women),6,Echoor,SC (Women)
5,left,9,7 Sivapuram SC (Women),7,Sivapuram,SC (Women)
5,left,10,8 Pitchivakkam SC (Women),8,Pitchivakkam,SC (Women)
5,left,11,9 Vallam SC (General),9,Vallam,SC (General)
5,left,12,10 Thulasapuram SC (General),10,Thulasapuram,SC (General)
5,left,13,11 Katrambakkam SC (General),11,Katrambakkam,SC (General)
5,left,14,12 Ekanapuram SC (General),12,Ekanapuram,SC (General)
5,left,15,13 Sengadu SC (General),13,Sengadu,SC (General)
5,left,16,14 Kaduvanchery SC (General),14,Kaduvanchery,SC (General)
5,left,17,15 Kandoor SC (General),15,Kandoor,SC (General)
5,left,18,16 Balnellure SC (General),16,Balnellure,SC (General)
5,left,19,17 Keevalure SC (General),17,Keevalure,SC (General)
5,left,20,18 Kunnam SC (General),18,Kunnam,SC (General)
5,left,21,19 Thathanur SC (General),19,Thathanur,SC (General)
5,left,22,20 Selvhizhimangalam SC (General),20,Selvhizhimangalam,SC (General)
5,left,23,21 Panrutti SC (General),21,Panrutti,SC (General)
5,left,24,22 Ramanujapuram SC (General),22,Ramanujapuram,SC (General)
5,left,25,23 Edaiyarpakkam General (Women),23,Edaiyarpakkam,General (Women)
5,left,26,24 Keeranallure General (Women),24,Keeranallure,General (Women)
5,left,27,25 Pillaipakkam General (Women),25,Pillaipakkam,General (Women)
5,left,28,26 Thirumangalam General (Women),26,Thirumangalam,General (Women)
5,left,29,27 Santhavellore General (Women),27,Santhavellore,General (Women)
5,left,30,28 Gunagarambakkam General (Women),28,Gunagarambakkam,General (Women)
5,left,31,29 Chellampattidai General (Women),29,Chellampattidai,General (Women)
5,left,32,30 Mambakkam General (Women),30,Mambakkam,General (Women)
5,left,33,31 Sendamangalam General (Women),31,Sendamangalam,General (Women)
5,left,34,32 Nemily General (Women),32,Nemily,General (Women)
5,left,35,33 Kottur General (Women),33,Kottur,General (Women)
5,left,36,34 Melmaduramangalam General (Women),34,Melmaduramangalam,General (Women)
5,left,37,35 Irungkattukkottai General (Women),35,Irungkattukkottai,General (Women)
5,left,38,36 Maduramangalam General,36,Maduramangalam,General
5,left,39,37 Molachoor General,37,Molachoor,General
5,left,40,38 Maganyam General,38,Maganyam,General
5,left,41,39 Singilipadi General,39,Singilipadi,General
5,left,42,40 Mevalurkuppam General,40,Mevalurkuppam,General
5,left,43,41 Sirumangadu General,41,Sirumangadu,General
5,left,44,42 Vengadu General,42,Vengadu,General
5,left,45,43 Pappankuzhi General,43,Pappankuzhi,General
5,left,46,44 Kannanthangal General,44,Kannanthangal,General
5,left,47,45 Sogandi General,45,Sogandi,General
5,left,48,46 Pennalure General,46,Pennalure,General
5,right,3,47 Gunduperumbedu General,47,Gunduperumbedu,General
5,right,4,48 Pondur General,48,Pondur,General
5,right,5,49 Eraiyur General,49,Eraiyur,General
5,right,6,50 Perinjambakkam General,50,Perinjambakkam,General
5,right,7,51 Kiloy General,51,Kiloy,General
5,right,8,52 Mettupalayam General,52,Mettupalayam,General
5,right,9,53 Kolathur General,53,Kolathur,General
5,right,10,54 Vadamangalam General,54,Vadamangalam,General
5,right,11,55 Podavur General,55,Podavur,General
5,right,12,56 Mannur General,56,Mannur,General
5,right,13,57 Valarpuram General,57,Valarpuram,General
5,right,14,58 Mathur General,58,Mathur,General
5,right,16,1 Thandalam SC (Women),1,Thandalam,SC (Women)
5,right,17,2 Sennakuppam SC (Women),2,Sennakuppam,SC (Women)
5,right,18,3 Serapanancheri SC (Women),3,Serapanancheri,SC (Women)
5,right,19,4 Padappai SC (Women),4,Padappai,SC (Women)
5,right,20,5 Manimangalam SC (Women),5,Manimangalam,SC (Women)
5,right,21,6 Aadhanur SC (Women),6,Aadhanur,SC (Women)
5,right,22,7 Vadakkupattu SC (General),7,Vadakkupattu,SC (General)
5,right,23,8 Sikkarayapuram SC (General),8,Sikkarayapuram,SC (General)
5,right,24,9 Salamangalam SC (General),9,Salamangalam,SC (General)
5,right,25,10 Paraniputhur SC (General),10,Paraniputhur,SC (General)
5,right,26,11 Palanthandalam SC (General),11,Palanthandalam,SC (General)
5,right,27,12 Gerugambakkam SC (General),12,Gerugambakkam,SC (General)
5,right,28,13 Kozhumanivakkam SC (General),13,Kozhumanivakkam,SC (General)
5,right,29,14 Orathur SC (General),14,Orathur,SC (General)
5,right,30,15 Malaipattu SC (General),15,Malaipattu,SC (General)
5,right,31,16 Malayambakkam SC (General),16,Malayambakkam,SC (General)
5,right,32,17 Amarambedu SC (General),17,Amarambedu,SC (General)
5,right,33,18 Madambakkam General (Women),18,Madambakkam,General (Women)
5,right,34,19 Kovoor General (Women),19,Kovoor,General (Women)
5,right,35,20 Karasangal General (Women),20,Karasangal,General (Women)
5,right,36,21 Vaipur General (Women),21,Vaipur,General (Women)
5,right,37,22 Varadajapuram General (Women),22,Varadajapuram,General (Women)
5,right,38,23 Tharapakkam General (Women),23,Tharapakkam,General (Women)
5,right,39,24 Poonthandalam General (Women),24,Poonthandalam,General (Women)
5,right,40,25 Nandambakkam General (Women),25,Nandambakkam,General (Women)
5,right,41,26 Naduveerapattu General (Women),26,Naduveerapattu,General (Women)
5,right,42,27 Ayyappanthangal General,27,Ayyappanthangal,General
5,right,43,28 Valayakaranai General,28,Valayakaranai,General
5,right,44,29 Somangalam General,29,Somangalam,General
5,right,45,30 Sethupattu General,30,Sethupattu,General
5,right,46,31 Vattambakkam General,31,Vattambakkam,General
5,right,47,32 Nattarasanpattu General,32,Nattarasanpattu,General
6,left,3,33 Kolapakkam General,33,Kolapakkam,General
6,left,4,34 Kavanur General,34,Kavanur,General
6,left,5,35 Irandamkattalai General,35,Irandamkattalai,General
6,left,6,36 Thirumudivakkam General,36,Thirumudivakkam,General
6,left,7,37 Sirukalathur General,37,Sirukalathur,General
6,left,8,38 Periyapanicheri General,38,Periyapanicheri,General
6,left,9,39 Mowlivakkam General,39,Mowlivakkam,General
6,left,10,40 Kollacheri General,40,Kollacheri,General
6,left,11,41 Erumaiyur General,41,Erumaiyur,General
6,left,12,42 Ezhichur General,42,Ezhichur,General
6,left,14,1 Periaputhieri ST (General),1,Periaputhieri,ST (General)
6,left,15,2 Karanaipuducheri SC (Women),2,Karanaipuducheri,SC (Women)
6,left,16,3 Vallam SC (Women),3,Vallam,SC (Women)
6,left,17,4 Thimmavaram SC (Women),4,Thimmavaram,SC (Women)
6,left,18,5 Kunnavakkam SC (Women),5,Kunnavakkam,SC (Women)
6,left,19,6 Kolathur SC (General),6,Kolathur,SC (General)
6,left,20,7 Keerapakkam SC (General),7,Keerapakkam,SC (General)
6,left,21,8 Anjur SC (General),8,Anjur,SC (General)
6,left,22,9 Nedungundram SC (General),9,Nedungundram,SC (General)
6,left,23,10 Melamaiyur SC (General),10,Melamaiyur,SC (General)
6,left,24,11 Pattaravakkam SC (General),11,Pattaravakkam,SC (General)
6,left,25,12 Pulipakkam SC (General),12,Pulipakkam,SC (General)
6,left,26,13 Guruvanmedu SC (General),13,Guruvanmedu,SC (General)
6,left,27,14 Veerapuram General (Women),14,Veerapuram,General (Women)
6,left,28,15 Chettipunniyam General (Women),15,Chettipunniyam,General (Women)
6,left,29,16 Villiambakkam General (Women),16,Villiambakkam,General (Women)
6,left,30,17 Reddipalayam General (Women),17,Reddipalayam,General (Women)
6,left,31,18 Appur General (Women),18,Appur,General (Women)
6,left,32,19 Athur General (Women),19,Athur,General (Women)
6,left,33,20 Karunilam General (Women),20,Karunilam,General (Women)
6,left,34,21 Ozhalur General (Women),21,Ozhalur,General (Women)
6,left,35,22 Venkatapuram General (Women),22,Venkatapuram,General (Women)
6,left,36,23 Alapakkam General,23,Alapakkam,General
6,left,37,24 Thriuvadisoolam General,24,Thriuvadisoolam,General
6,left,38,25 Vandalur General,25,Vandalur,General
6,left,39,26 Singaperumalkoil General,26,Singaperumalkoil,General
6,left,40,27 Kondamangalam General,27,Kondamangalam,General
6,left,41,28 Kayarambedu General,28,Kayarambedu,General
6,left,42,29 Nallambakkam General,29,Nallambakkam,General
6,left,43,30 Urapakkam General,30,Urapakkam,General
6,left,44,31 Kalvoy General,31,Kalvoy,General
6,left,45,32 Unamancheri General,32,Unamancheri,General
6,left,46,33 Palur General,33,Palur,General
6,left,47,34 Perumattunallur General,34,Perumattunallur,General
6,left,48,35 Thenmelpakkam General,35,Thenmelpakkam,General
6,right,3,36 Mannivakkam General,36,Mannivakkam,General
6,right,4,37 Pazhaveli General,37,Pazhaveli,General
6,right,5,38 Kumuzhi General,38,Kumuzhi,General
6,right,6,39 Vengadamangalam General,39,Vengadamangalam,General
6,right,8,1 Kunnapattu ST (General),1,Kunnapattu,ST (General)
6,right,9,2 Karanai SC (Women),2,Karanai,SC (Women)
6,right,10,3 Sembakkam SC (Women),3,Sembakkam,SC (Women)
6,right,11,4 Mambakkam SC (Women),4,Mambakkam,SC (Women)
6,right,12,5 Illalur SC (Women),5,Illalur,SC (Women)
6,right,13,6 Nellikuppam SC (Women),6,Nellikuppam,SC (Women)
6,right,14,7 Thandalam SC (Women),7,Thandalam,SC (Women)
6,right,15,8 Kottamedu SC (General),8,Kottamedu,SC (General)
6,right,16,9 Kelambakkam SC (General),9,Kelambakkam,SC (General)
6,right,17,10 Venbedu SC (General),10,Venbedu,SC (General)
6,right,18,11 Melakottaiyur SC (General),11,Melakottaiyur,SC (General)
6,right,19,12 Muttukadu SC (General),12,Muttukadu,SC (General)
6,right,20,13 Periyavippedu SC (General),13,Periyavippedu,SC (General)
6,right,21,14 Pattipulam SC (General),14,Pattipulam,SC (General)
6,right,22,15 Sirunkundram SC (General),15,Sirunkundram,SC (General)
6,right,23,16 Navalur SC (General),16,Navalur,SC (General)
6,right,24,17 Panangattupakkam SC (General),17,Panangattupakkam,SC (General)
6,right,25,18 Madayathur SC (General),18,Madayathur,SC (General)
6,right,26,19 Sonalur SC (General),19,Sonalur,SC (General)
6,right,27,20 Oragadam General (Women),20,Oragadam,General (Women)
6,right,28,21 Mailai General (Women),21,Mailai,General (Women)
6,right,29,22 Kayar General (Women),22,Kayar,General (Women)
6,right,30,23 Periyairumbedu General (Women),23,Periyairumbedu,General (Women)
6,right,31,24 Mullipakkam General (Women),24,Mullipakkam,General (Women)
6,right,32,25 Karumbakkam General (Women),25,Karumbakkam,General (Women)
6,right,33,26 Paiyanur General (Women),26,Paiyanur,General (Women)
6,right,34,27 Manamathy General (Women),27,Manamathy,General (Women)
6,right,35,28 Ponmar General (Women),28,Ponmar,General (Women)
6,right,36,29 Arungundram General (Women),29,Arungundram,General (Women)
6,right,37,30 Sirudhavur General (Women),30,Sirudhavur,General (Women)
6,right,38,31 Velichai General,31,Velichai,General
6,right,39,32 Thandarai General,32,Thandarai,General
6,right,40,33 Nemmeli General,33,Nemmeli,General
6,right,41,34 Kanathur Reddy Kuppam General,34,Kanathur Reddy Kuppam,General
6,right,42,35 Kolathur General,35,Kolathur,General
6,right,43,36 Kovalam General,36,Kovalam,General
6,right,44,37 Thiruvidanthai General,37,Thiruvidanthai,General
6,right,45,38 Hanumanthapuram General,38,Hanumanthapuram,General
6,right,46,39 Thirunilai General,39,Thirunilai,General
6,right,47,40 Melaiyur General,40,Melaiyur,General
6,right,48,41 Perunthandalam General,41,Perunthandalam,General
7,left,3,42 Padur General,42,Padur,General
7,left,4,43 Kizhur General,43,Kizhur,General
7,left,5,44 Siruseri General,44,Siruseri,General
7,left,6,45 Amoor General,45,Amoor,General
7,left,7,46 Thaiyur General,46,Thaiyur,General
7,left,8,47 Alathur General,47,Alathur,General
7,left,9,48 Pudupakkam General,48,Pudupakkam,General
7,left,10,49 Vadanemmeli General,49,Vadanemmeli,General
7,left,11,50 Thazhambur General,50,Thazhambur,General
7,left,13,1 Narappakkam ST (General),1,Narappakkam,ST (General)
7,left,14,2 Vilagam SC (Women),2,Vilagam,SC (Women)
7,left,15,3 Pulleri SC (Women),3,Pulleri,SC (Women)
7,left,16,4 Pandoor SC (Women),4,Pandoor,SC (Women)
7,left,17,5 Nallathur SC (Women),5,Nallathur,SC (Women)
7,left,18,6 Anoor SC (Women),6,Anoor,SC (Women)
7,left,19,7 Edaiyathur SC (Women),7,Edaiyathur,SC (Women)
7,left,20,8 Vengappakkam SC (General),8,Vengappakkam,SC (General)
7,left,21,9 Nerumbur SC (General),9,Nerumbur,SC (General)
7,left,22,10 Nallur SC (General),10,Nallur,SC (General)
7,left,23,11 Kulipanthandalam SC (General),11,Kulipanthandalam,SC (General)
7,left,24,12 Edaiyaur SC (General),12,Edaiyaur,SC (General)
7,left,25,13 Echur SC (General),13,Echur,SC (General)
7,left,26,14 Vadakadambadi SC (General),14,Vadakadambadi,SC (General)
7,left,27,15 Sooradimangalam SC (General),15,Sooradimangalam,SC (General)
7,left,28,16 Sogandi SC (General),16,Sogandi,SC (General)
7,left,29,17 Naduvakkarai SC (General),17,Naduvakkarai,SC (General)
7,left,30,18 Thathalur General (Women),18,Thathalur,General (Women)
7,left,31,19 Ponpathirkoodam General (Women),19,Ponpathirkoodam,General (Women)
7,left,32,20 Periyakattupakkam General (Women),20,Periyakattupakkam,General (Women)
7,left,33,21 Mosivakkam General (Women),21,Mosivakkam,General (Women)
7,left,34,22 Ammanambakkam General (Women),22,Ammanambakkam,General (Women)
7,left,35,23 Alagusamudram General (Women),23,Alagusamudram,General (Women)
7,left,36,24 Meleripakkam General (Women),24,Meleripakkam,General (Women)
7,left,37,25 Vazhuvadur General (Women),25,Vazhuvadur,General (Women)
7,left,38,26 Perumbedu General (Women),26,Perumbedu,General (Women)
7,left,39,27 Kilappakkam General (Women),27,Kilappakkam,General (Women)
7,left,40,28 Irumbulicheri General (Women),28,Irumbulicheri,General (Women)
7,left,41,29 Manappakkam General (Women),29,Manappakkam,General (Women)
7,left,42,30 Sadurangapattinam General,30,Sadurangapattinam,General
7,left,43,31 Vasuvasamudram General,31,Vasuvasamudram,General
7,left,44,32 Thirumani General,32,Thirumani,General
7,left,45,33 Pudupattinam General,33,Pudupattinam,General
7,left,46,34 Nemmeli General,34,Nemmeli,General
7,left,47,35 Kothimangalam General,35,Kothimangalam,General
7,left,48,36 P.V.Kalathur General,36,P.V.Kalathur,General
7,right,4,37 Othivakkam General,37,Othivakkam,General
7,right,5,38 Neikuppi General,38,Neikuppi,General
7,right,6,39 Nathamkariyacheri General,39,Nathamkariyacheri,General
7,right,7,40 Mullikolathur General,40,Mullikolathur,General
7,right,8,41 Mambakkam General,41,Mambakkam,General
7,right,9,42 Kunnathur General,42,Kunnathur,General
7,right,10,43 Aminjikarai General,43,Aminjikarai,General
7,right,11,44 Voyalur General,44,Voyalur,General
7,right,12,45 Vittilapuram General,45,Vittilapuram,General
7,right,13,46 Vallipuram General,46,Vallipuram,General
7,right,14,47 Salur General,47,Salur,General
7,right,15,48 Kadambadi General,48,Kadambadi,General
7,right,16,49 Thalambedu General,49,Thalambedu,General
7,right,17,50 Pattikkadu General,50,Pattikkadu,General
7,right,18,51 Manamai General,51,Manamai,General
7,right,19,52 Lattur General,52,Lattur,General
7,right,20,53 Echankaranai General,53,Echankaranai,General
7,right,21,54 Ayappakkam General,54,Ayappakkam,General
7,right,23,1 Arungunam ST (General),1,Arungunam,ST (General)
7,right,24,2 Soorai SC (Women),2,Soorai,SC (Women)
7,right,25,3 Sirunallur SC (Women),3,Sirunallur,SC (Women)
7,right,26,4 Palayanur SC (Women),4,Palayanur,SC (Women)
7,right,27,5 Onambakkam SC (Women),5,Onambakkam,SC (Women)
7,right,28,6 Nelli SC (Women),6,Nelli,SC (Women)
7,right,29,7 Meyyur SC (Women),7,Meyyur,SC (Women)
7,right,30,8 Kunnathur SC (Women),8,Kunnathur,SC (Women)
7,right,31,9 Kumaravadi SC (Women),9,Kumaravadi,SC (Women)
7,right,32,10 Devadur SC (Women),10,Devadur,SC (Women)
7,right,33,11 Andavakkam SC (Women),11,Andavakkam,SC (Women)
7,right,34,12 Vilvarayanallur SC (General),12,Vilvarayanallur,SC (General)
7,right,35,13 Veeranakunnam SC (General),13,Veeranakunnam,SC (General)
7,right,36,14 Silavattam SC (General),14,Silavattam,SC (General)
