file,url,sha256,bytes,kind,role
raw/9016dc06210fe648.html,http://web.archive.org/web/20090410101524id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=30&blnm=RANIGANJ,5b1200b6475832b087d9e7047758183947073af8f94542851a9c1d6d3f265ea5,3987,election_results,tabled_no_reservation
raw/05d8ccd10554b8d2.html,http://web.archive.org/web/20090410102634id_/http://bardhaman.nic.in/election/pan_result/gpview.asp?blno=31&blnm=SALANPUR,b461e967183252d448720a6dd1bda266f41dd215ac3e670bb1920820314a7d55,5495,election_results,tabled_no_reservation
raw/7108d88fe2dd4861.html,http://web.archive.org/web/20090410112111id_/http://bardhaman.nic.in/election/pan_result08/gpview.asp,dd4a8630926540ab5f3e707476e4190734254689042b27cb7ad96e0cc67d006d,2203,election_results,tabled_no_reservation
raw/dbd5228f62f5ce7f.html,http://web.archive.org/web/20090410093106id_/http://bardhaman.nic.in/election/pan_result/gp_result.gif,4983771150f6cd78769fede199eeda4427a0c3e472a373a287293eab86a05c4d,4512,election_results,tabled_no_reservation
raw/b43cef5d1b1cfab3.html,http://web.archive.org/web/20041128095800id_/http://www.bardhaman.nic.in:80/election/pan_result/pancha.html,bf77e565488adf00f194d4501aa6a16ee824322e332e8eb5e1cfde1660868bd4,5917,election_results,tabled_no_reservation
raw/6a4ece28b5fc4901.html,http://web.archive.org/web/20090410093119id_/http://bardhaman.nic.in/election/pan_result/ps_result.gif,efcdc6acdfed83fdc3afcdc32891f5386882718b3699a4c20c3702ace35af541,4180,election_results,tabled_no_reservation
raw/45262acdbd936832.html,http://web.archive.org/web/20090410102008id_/http://bardhaman.nic.in/election/pan_result/psview.asp,9c506f747fb8d71ce45a02be6bee5428ee0f559357659e2f58e578e5bf0ae538,10239,election_results,tabled_no_reservation
raw/e78683609c404f5b.html,http://web.archive.org/web/20090410093050id_/http://bardhaman.nic.in/election/pan_result/zp_result.gif,98d9bacd9aad2349e7b7eb44fa6810767902be83b7d1a52b641e80b5f2ae8e1c,3707,election_results,tabled_no_reservation
raw/c7daca46abdfeecd.html,http://web.archive.org/web/20090410103645id_/http://bardhaman.nic.in/election/pan_result/zpview.asp,b2cb5ca3232085b2652f43fe9a736f6cb802960fa49a66af5ba1731d14c16d56,9500,election_results,tabled_no_reservation
raw/00478bd3bf5a29e9.html,http://web.archive.org/web/20090410112122id_/http://bardhaman.nic.in/election/pan_result08/gpview08.asp,12b7482804a5a383e29269c3e85ae2a34e203c941d9a2c95df867a2a3d86e230,2918,election_results,tabled_no_reservation
raw/26ccf70c90fff2df.html,http://web.archive.org/web/20090410112105id_/http://bardhaman.nic.in/election/pan_result08/gpview_uc.asp,f5b9d783a125aeef7eab8282b4d8f08ba70661775af311a57589bffd78b549e8,20496,election_results,tabled_no_reservation
raw/48ebe9b9ca3fad48.html,http://web.archive.org/web/20090410093022id_/http://bardhaman.nic.in/election/pan_result08/pancha.html,c2e3ceb6b8f5dc4c844af54ce4c7ff28dc97fc4d4fa8f330146e53989f78cbda,6184,election_results,tabled_no_reservation
raw/eada1e03bce43acf.html,http://web.archive.org/web/20090410112138id_/http://bardhaman.nic.in/election/pan_result08/psview.asp,2e13de6c9eada39c7c0ac1cdf4f55336164c3376c9be6aa4fcc8de6039087356,2205,election_results,tabled_no_reservation
raw/93b19f948a889346.html,http://web.archive.org/web/20090410112133id_/http://bardhaman.nic.in/election/pan_result08/psview08.asp,994f5d6fdafad6f48f780f27f77520940d1ac1e115651e0c26e0291b273a43f0,2528,election_results,tabled_no_reservation
raw/0d891d05b8fa11d6.html,http://web.archive.org/web/20090410112128id_/http://bardhaman.nic.in/election/pan_result08/psview_uc.asp,31bf8104e7d537850d5ff2dadcfb965d0d7ea16a1d1d84097974ccb8c2845069,15605,election_results,tabled_no_reservation
raw/951591863a72abe1.html,http://web.archive.org/web/20090410112115id_/http://bardhaman.nic.in/election/pan_result08/zpview.asp,6636824ad09b2ff97db75b9742e76fb1f91015d32571df2a775b2c2564342d9a,2201,election_results,tabled_no_reservation
raw/d065debca5556cb1.html,http://web.archive.org/web/20090410112118id_/http://bardhaman.nic.in/election/pan_result08/zpview08.asp,f6f7f0dc66b41bf280f7d22cdf4e4e46d4c88025477b6905b3801f6d8c0d9198,2378,election_results,tabled_no_reservation
raw/904478a2260c8f46.json,https://dataverse.harvard.edu/api/search?q=PXV79W&type=file&per_page=100,79bbab8b92316918630d05237f3200a339492706091819808b3399b467ac9fc8,123,research_reference_or_search_index,not_counted
raw/9cc9cb2f9dc9cc88.pdf,https://www.povertyactionlab.org/sites/default/files/research-paper/310%20Female%20Quotas%20Nov%2009.pdf,328fd56484e0c86d63a01da63b64c5cf582d78774de5eb98fbfa5528b766f136,344621,research_reference_or_search_index,not_counted
raw/9d4dca7886bd11b2.json,https://api.github.com/repos/in-rolls/beaman/git/trees/main?recursive=1,5c6e16c6559b657caab159db2f36fb4a32d44b495eb18da2d7c0236e4c615d3e,12776,research_reference_or_search_index,not_counted
raw/339388c1ec04fa70.json,https://dataverse.harvard.edu/api/guestbooks/269,a8b05cd7771371cd40cbcb09637a7f0f66894b3b8677e981d1cd9eb32e7b4c0d,15214,research_reference_or_search_index,not_counted
raw/39cda3764d554bc1.json,https://zenodo.org/api/records/10805145,8d71bf2c572bdce3e52de1ac168f38cf4f86becd412a266e0e38bea33cf84a22,4351,research_reference_or_search_index,not_counted
raw/898f2f74836e83ae.dta,https://raw.githubusercontent.com/in-rolls/beaman/main/data/powerful_women_in_india_pradhan_seats_reserved_for_women.dta,e6454a2ae5a36829376557b20a45da7776a2951f9accc05ec75ac289a462d763,120266,named_gp_pradhan_reservation,parsed_research_observations
raw/ae11c08ae7338109.py,https://raw.githubusercontent.com/in-rolls/beaman/main/scripts/codebook.py,2c2b783e654a6e9863d064b02f76ce6a1d1bab071b2fc7492ec7704234e767f3,12099,research_reference_or_search_index,not_counted
raw/27e5a3bf76d81398.dta,https://raw.githubusercontent.com/in-rolls/beaman/main/data/powerful_women_in_india_household_survey.dta,0a837a9092c9013fbaec5b9b8bdcebb005051382b330801de7ccca70f322cced,14943903,household_survey,inspected_no_reservation_fields
raw/7ff7132aca33ef80.xml,https://dataverse.harvard.edu/api/meta/datafile/13986341,5048818ef7ad541c77787e8a4df7378f95d9d8ebd77fba3b771d497b31802c54,13106,stata_codebook_metadata,metadata_only
raw/2da516579d543da9.json,"http://web.archive.org/cdx/search/cdx?url=wbprd.nic.in/*&filter=statuscode:200&collapse=urlkey&output=json&fl=original,timestamp,mimetype&filter=original:.*(pradhan%7Creserv%7Croster%7C2003%7C1998).*&limit=10000&showResumeKey=true",abd4a9e62ad7c322721bfb2f94637daa0aea7f05e3e1b5e8e2d72f204f69cf26,1800,archive_index,not_counted
