source_path,source_sha256,source_page,district,year,stage,ocr_cache,layout,structured_gp_candidates,structured_other_tier_candidates,coverage,reason,reason_evidence,gp_identifier_tokens,ps_identifier_tokens,bengali_letter_fraction,source_page_link,sample_image
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/Form A1@GP BOXIGANJ HALDIBARI.pdf,26342507d98ad4151b6a6bdb9a6626725e7379366fac1ef06e2132dd193aa138,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/26342507d98ad4151b6a6bdb9a6626725e7379366fac1ef06e2132dd193aa138/0001.json,gp_form_a,0,0,raw_only,possible_order_only_page,reader_diagnostic,0,0,0.001,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/Form A1@GP BOXIGANJ HALDIBARI.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/Form A1@GP BOXIGANJ HALDIBARI.pdf,26342507d98ad4151b6a6bdb9a6626725e7379366fac1ef06e2132dd193aa138,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/26342507d98ad4151b6a6bdb9a6626725e7379366fac1ef06e2132dd193aa138/0002.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,3,0,0.054,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/Form A1@GP BOXIGANJ HALDIBARI.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/Form A1@GP BOXIGANJ HALDIBARI.pdf,26342507d98ad4151b6a6bdb9a6626725e7379366fac1ef06e2132dd193aa138,3,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/26342507d98ad4151b6a6bdb9a6626725e7379366fac1ef06e2132dd193aa138/0003.json,gp_form_a,0,0,raw_only,column_number_style_not_supported_or_ambiguous,reader_diagnostic,3,0,0.065,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/Form A1@GP BOXIGANJ HALDIBARI.pdf#page=3,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/Form A1@GP BOXIGANJ HALDIBARI.pdf,26342507d98ad4151b6a6bdb9a6626725e7379366fac1ef06e2132dd193aa138,4,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/26342507d98ad4151b6a6bdb9a6626725e7379366fac1ef06e2132dd193aa138/0004.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,3,0,0.045,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/Form A1@GP BOXIGANJ HALDIBARI.pdf#page=4,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@ Hemkumari Gp Haldibari.pdf,438c156a7a5d2026ebb736fd5d04cde009863a7278bd8996220e179f74c149d0,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/438c156a7a5d2026ebb736fd5d04cde009863a7278bd8996220e179f74c149d0/0001.json,gp_form_a,0,0,raw_only,possible_order_only_page,reader_diagnostic,0,0,0.001,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@ Hemkumari Gp Haldibari.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@ Hemkumari Gp Haldibari.pdf,438c156a7a5d2026ebb736fd5d04cde009863a7278bd8996220e179f74c149d0,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/438c156a7a5d2026ebb736fd5d04cde009863a7278bd8996220e179f74c149d0/0002.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,7,0,0.023,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@ Hemkumari Gp Haldibari.pdf#page=2,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@ Hemkumari Gp Haldibari.pdf,438c156a7a5d2026ebb736fd5d04cde009863a7278bd8996220e179f74c149d0,3,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/438c156a7a5d2026ebb736fd5d04cde009863a7278bd8996220e179f74c149d0/0003.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,8,0,0.012,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@ Hemkumari Gp Haldibari.pdf#page=3,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@ Hemkumari Gp Haldibari.pdf,438c156a7a5d2026ebb736fd5d04cde009863a7278bd8996220e179f74c149d0,4,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/438c156a7a5d2026ebb736fd5d04cde009863a7278bd8996220e179f74c149d0/0004.json,gp_form_a,0,0,raw_only,column_number_style_not_supported_or_ambiguous,reader_diagnostic,2,0,0.048,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@ Hemkumari Gp Haldibari.pdf#page=4,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Daksin bara haldibari.pdf,2ce33f4e02afc3484116c8679690c71ae67936b188abc323751ddde57c8c5176,1,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/2ce33f4e02afc3484116c8679690c71ae67936b188abc323751ddde57c8c5176/0001.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,0,0,0.016,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Daksin bara haldibari.pdf#page=1,
data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Daksin bara haldibari.pdf,2ce33f4e02afc3484116c8679690c71ae67936b188abc323751ddde57c8c5176,2,Cooch Behar,2023,final,data/wb/derived/ward_schedules/ocr/2ce33f4e02afc3484116c8679690c71ae67936b188abc323751ddde57c8c5176/0002.json,gp_form_a,0,0,raw_only,missing_or_corrupted_column_number_readings,reader_diagnostic,7,0,0.01,data/wb/2023/cooch_behar/extracted/CBR FINAL ORDER  FORM A1 B1/Haldibari/form A1@Gp Daksin bara haldibari.pdf#page=2,
