state,district,term,block,gram_panchayat,named_in_order,caste_reservation,woman_reserved,printed,match,assigned_by,order,source_file,source_page,source_row,gp_list
West Bengal,South 24 Parganas,2018,BARUIPUR,MALLIKPUR,True,SC,True,Mallickpur,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,8.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,NABAGRAM,True,UR,True,Nabagram,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,7.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,RAMNAGAR-I,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,RAMNAGAR-II,True,SC,False,Ramnagar-II,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,6.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,SHANKARPUR-I,True,UR,True,Sankarpur-I,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,14.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,SHANKARPUR-II,True,BC,False,Sankarpur-II,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,15.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,SHIKHARBALI-I,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,SHIKHARBALI-II,True,SC,True,Sikharbali-II,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,7.0,11.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BARUIPUR,SOUTH GARIA,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,AMJHARA,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,BASANTI,True,SC,True,Basanti,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,8.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,BHARATGARH,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,CHARABIDYA,True,SC,True,Charavidya,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,4.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,CHUNAKHALI,True,UR,True,Chunakhali,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,2.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,FOOLMALANCHA,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,JHARKHALI,True,SC,True,Jharkhali,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,11.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,JYOTISHPUR,True,ST,False,Jyotishpur,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,9.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,KANTHALBERIA,True,UR,True,Kanthalberia,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,5.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,MASZIDBATI,True,UR,True,Masjidbati,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,3.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,NAFARGANJ,True,UR,True,Nafargunj,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,10.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,RAMCHANDRAKHALI,True,ST,False,Ramchandrakhali,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,6.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BASANTI,UTTAR MOKAMBERIA,True,UR,True,Uttar Mokamberia,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,1.0,7.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-I,BODRA,True,SC,True,Bodra,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,8.0,5.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-I,CHANDANESWAR-I,True,SC,False,Chandaneswar-I,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,8.0,6.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-I,CHANDANESWAR-II,True,SC,False,Chandaneswar-II,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,8.0,3.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-I,DURGAPUR,True,UR,True,Durgapur,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,8.0,7.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-I,JAGULGACHHI,True,SC,True,Jagulgachhi,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,8.0,10.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-I,NARAYANPUR,True,SC,True,Narayanpur,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,8.0,8.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-I,PRANGANJ,True,BC,False,Prangunj,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,8.0,9.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-I,SHANKSAHAR,True,UR,True,Sankshahar,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,8.0,4.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-I,TARDA,True,ST,True,Tardah,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,8.0,2.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,BAMANGHATA,True,SC,False,Bamanghata,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,12.0,2.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,BENTTATA-I,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,BENTTATA-II,True,UR,True,Beonta-II,transliteration,override,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,12.0,3.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,BHAGAWANPUR,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,BHOGALI-I,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,BHOGALI-II,True,BC,False,Bhogali-II,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,12.0,8.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,CHALTABERIA,True,SC,True,Chaltaberia,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,12.0,7.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,CHANPUKUR,True,UR,True,Shanpukur,fuzzy,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,12.0,4.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,POLERHAT-I,True,BC,True,Polerhat-I,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,12.0,5.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BHANGAR-II,POLERHAT-II,True,SC,False,Polerhat-II,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,12.0,6.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,AMGACHHIA,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,ANDHAR MANIK,True,UR,True,Andharmanik,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,11.0,11.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,BHANDARIA KASTEKUMARI,True,SC,False,Bhandaria Kastekumari,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,11.0,13.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,DAKSHIN GAURIPUR CHAKDHIR,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,JULPIA,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,KEORADANGA,True,SC,True,Keoradanga,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,11.0,10.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,KULERDARI,True,UR,True,Kulerdari,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,11.0,6.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,PANAKUA,True,SC,False,Panakua,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,11.0,7.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,PASCHIM BISHNUPUR,True,BC,False,Paschim Bishnupur,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,11.0,9.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,PURBA BISHNUPUR,True,SC,True,Purba Bishnupur,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,11.0,8.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-I,RAKHALI,True,UR,True,Rashkhali,fuzzy,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,11.0,12.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,BAKHRAHAT,True,BC,True,Bakrahat,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,10.0,14.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,CHAK ENAYETNAGAR,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,CHANDI,True,UR,True,Chandi,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,10.0,18.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,GOBINDAPUR KALICHARANPUR,True,SC,False,Gobindapur Kalicharanpur,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,10.0,19.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,KANGANBERIA,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,KHAGRAMURI,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,MAUKHALI,True,SC,True,Moukhali,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,10.0,16.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,NAHAJARI,True,UR,True,Nahazari,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,10.0,13.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,PANCHANAN,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,PATHARBERIA JAYCHANDIPUR,True,BC,False,Patharberia Joychandipur,transliteration,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,10.0,15.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BISHNUPUR-II,RAMKRISHNAPUR BORHANPUR,True,UR,True,Ramkrishnapur Borhanpur,exact,matcher,"No. 6/P&RD/PGE/2018, dated 06/03/2018",s24pgs_642_Form-1B_Pradhan_1_e6a3bc68.pdf,10.0,17.0,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
West Bengal,South 24 Parganas,2018,BUDGE BUDGE-I,BUTA,False,UR,False,,not_named,,"No. 6/P&RD/PGE/2018, dated 06/03/2018",,,,"doi:10.7910/DVN/ZHF9WC datafile 10396546 (r3-all-2018.csv.gz, md5 fd3487254ae01b22b999d6425fa62309)"
